simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split,operating_classification
SIM_00001,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.4329,1677.77,46.44,8.42,25.61,12.852,25.996,1,NONE,,PASS,94.604462620765,19.330435242838288,1.1024647571617128,16.0745008541906,30813.664849146888,99.04191272616684,54.49989640981827,88.14170308746439,34.829613050159075,7.653071723434153,65.9813335196117,62.19638784456433,1.4421467677755386,1.426220107346845,26.19373834846253,8.399305377604165,4.388308719448097,12.787614097052264,0.6615274791492308,0.0,1.2490009027033011e-14,15.8246383043356,88.40115633437536,30813.664849146888,26.19373834846253,boundary_stress,BOUNDARY_STRESS
SIM_00002,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,38.4609,1803.86,25.82,6.54,29.29,18.557,24.893,1,NONE,,PASS,81.73701746768539,31.43679255122901,7.024107448770991,5.892950963337658,9850.763830379285,99.67331439450192,46.20720957079495,66.04938619730103,56.6428694616739,50.69197354364544,69.50617250097547,35.520847854815976,1.4706591977623926,1.5522931369944124,8.476973317247765,23.42876438802083,4.874890708117604,28.303655096138435,0.9003353331932685,0.0,0.0,9.180165407841,24.768441607797044,9850.763830379285,8.476973317247765,boundary_stress,BOUNDARY_STRESS
SIM_00004,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,31.1786,1678.21,25.09,9.45,25.58,15.015,21.749,1,NONE,,PASS,82.42675324123985,25.699507686073208,5.479092313926793,6.358197161540315,9519.977540183923,99.6211322086306,44.7218359737854,68.20942397720303,46.30541925418596,39.585594776664216,60.51132742043881,37.314271455318845,1.3989903387830511,1.426450886145154,8.091824264113145,15.158158421875,4.299164435797627,19.457322857672622,0.7571087779326109,0.0,6.2450045135165055e-15,9.99773148632132,27.163929626322386,9519.977540183923,8.091824264113145,boundary_stress,BOUNDARY_STRESS
SIM_00005,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.9554,2485.9,73.33,8.51,34.95,12.359,24.101,1,NONE,,PASS,86.21177602581126,19.79025803382908,3.165141966170919,12.599760173703322,17950.372198859528,99.4931509644916,41.57333244450875,76.40080368935429,35.658122583475816,26.00038973060513,60.74083326891044,40.75673322988119,1.400774833000569,2.179249887918869,15.736090189656313,9.043271859375,5.67777851997407,14.72105037934907,0.7438533825170544,0.0,0.0,16.540253998756032,51.55587706297273,17950.372198859528,15.736090189656313,boundary_stress,BOUNDARY_STRESS
SIM_00006,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,32.9752,1620.86,37.41,7.35,34.71,10.527,25.786,1,NONE,,PASS,75.85535048999289,25.013453534776136,7.961746465223866,5.131979375081965,6696.999757183392,99.68337923231606,27.367940585288185,66.75758651954656,45.06928564824529,25.82383634210492,78.12319355883155,37.57132235671829,1.5427580771764966,1.4198107152709272,5.866312954490689,10.892979479166666,13.063869956346874,23.95684943551354,0.9577585678925302,0.0,6.2450045135165055e-15,8.882434694433341,17.11632853572359,6696.999757183392,5.866312954490689,boundary_stress,BOUNDARY_STRESS
SIM_00008,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,30.0594,2606.34,72.34,8.28,20.77,10.997,27.905,1,NONE,,PASS,78.44454878939796,23.57996069880029,6.4794393011997045,9.008977298824815,12058.54112266946,99.65434374261127,27.80863666765221,70.14123266883455,42.48641567351404,23.4500481472683,78.4865238125413,39.35220562408579,1.5458745325749854,2.179675727029089,10.084528261264731,10.420331067708334,13.078946022277544,23.49927708998588,0.9965782975703384,6.2450045135165055e-15,3.7470027081099033e-14,12.19005892850112,27.61231643938728,12058.54112266946,10.084528261264731,boundary_stress,BOUNDARY_STRESS
SIM_00009,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,24.1702,1913.83,58.9,8.33,21.24,18.207,20.858,1,NONE,,PASS,91.3465277341674,22.07863844640373,2.091561553596268,13.923394965607097,21969.34830036449,99.27248528000882,67.51526927890698,73.36141604457349,39.78133053406077,9.693868134111884,53.8056414760185,40.47751248944813,1.3478426156187069,1.603090687443197,18.40229156691573,14.429735286458335,0.8454127505940463,15.275148037052382,0.6918519035552425,6.2450045135165055e-15,0.0,19.548603676379315,77.10027880338845,21969.34830036449,18.40229156691573,boundary_stress,BOUNDARY_STRESS
SIM_00014,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,31.3852,1720.97,31.67,9.26,23.3,10.875,25.166,1,NONE,,PASS,78.15348173886589,24.52862655070654,6.856573449293463,5.775630939748514,7856.886497020664,99.66439676811632,29.772592553410792,68.89174888344088,44.19572351478656,26.667089275885694,75.20811323486117,39.393512565828,1.5179803684230515,1.451631668460033,6.627253964084912,10.74697903125,11.281477848884885,22.028456880134883,0.8980713548961574,0.0,0.0,9.314994623053485,19.921429498222807,7856.886497020664,6.627253964084912,boundary_stress,BOUNDARY_STRESS
SIM_00015,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.5155,1920.61,30.51,8.17,20.53,16.666,26.162,1,NONE,,PASS,93.82574105368458,21.125334726942352,1.3901652730576497,17.943003229313117,30834.0622057796,99.0657653959256,65.21934560281186,82.248008114492,38.06366617467091,4.421111782673893,56.16787036301773,53.26511334557045,1.365643647147728,1.604889874101392,25.76539443794842,12.23713516059028,2.704427303575896,14.941562464166177,0.7072816907895118,3.1225022567582528e-15,0.0,19.522637825043404,92.12875305027612,30834.0622057796,25.76539443794842,boundary_stress,BOUNDARY_STRESS
SIM_00016,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.5451,2863.97,86.39,8.55,32.32,11.601,22.825,1,NONE,,PASS,80.95485902723665,18.25135392254953,4.293746077450471,13.302764257704736,14981.2530662222,99.53551314232676,36.81205003882309,69.85953653431578,32.88532238297213,22.469484578695155,56.22353801603788,35.507784755124604,1.3660659643990931,2.489251107398108,13.021121305497234,8.288259809895834,5.774489988860564,14.062749798756398,0.7705044709796507,0.0,2.4980018054066022e-14,17.57987403785608,43.17980099709842,14981.2530662222,13.021121305497234,boundary_stress,BOUNDARY_STRESS
