simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split,operating_classification
SIM_00003,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,37.5022,2196.23,39.75,8.7,34.64,19.579,21.558,1,NONE,,PASS,76.73005307470099,28.775457964180514,8.726742035819493,7.147245770831757,9414.486081809184,99.67456751930207,48.2297419486132,55.05151451591871,51.84767200753246,41.121290157429456,57.38712430635995,25.854277893404436,1.3749233510142749,1.923375168789216,8.244850838329075,24.17557186284722,1.63746528825023,25.81303715109745,0.8970504373285505,6.2450045135165055e-15,0.0,11.244928301788304,24.55753184398713,9414.486081809184,8.244850838329075,train,ENGINEERING_ACCEPTABLE
SIM_00007,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,38.2612,2673.81,76.14,6.91,22.44,10.603,24.954,1,NONE,,PASS,59.3058370012867,22.691124906736302,15.570075093263709,7.476162592304899,6559.604627532104,99.72039290030686,20.792622441252536,48.62326685600621,40.88490974186722,22.58298796603098,70.82677894980574,22.61121080286596,1.481486133647017,2.2488058397039743,5.5169504162761775,12.740116065972224,15.574811257022688,28.31492732299491,1.247841499236958,6.2450045135165055e-15,1.2490009027033011e-14,10.297794435536536,13.202490711443945,6559.604627532104,5.5169504162761775,train,ENGINEERING_ACCEPTABLE
SIM_00010,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,28.2249,1768.31,55.76,7.08,26.56,10.66,14.399,1,NONE,,PASS,59.75839941110085,16.866748475383805,11.35815152461619,6.604246310120012,4384.426519552048,99.62652214203844,31.757376613969168,41.03157441462525,30.39053779348433,25.41081065214627,38.14224685531906,17.643861732565856,1.2355361255220263,1.5079651896542603,3.738916009116881,9.4541164609375,2.8015991576271912,12.25571561856469,0.7266199313075254,6.2450045135165055e-15,3.7470027081099033e-14,10.418595830330975,13.788075977265308,4384.426519552048,3.738916009116881,train,ENGINEERING_ACCEPTABLE
SIM_00011,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,35.5951,2864.58,96.9,6.7,20.52,18.689,21.748,1,NONE,,PASS,73.84497201702484,26.28519163443201,9.30990836556798,9.433270731736537,10925.677486286537,99.6706927112618,45.53786016527066,51.97576139618252,47.360705647625245,38.31402261848672,51.951691182455455,23.344615738544267,1.334034461589871,2.3936035390909947,9.129345418226148,21.846183639756948,2.361977731087423,24.208161370844373,0.9209809731473726,6.2450045135165055e-15,6.245004513516507e-14,13.16389393744977,26.18154889032539,10925.677486286537,9.129345418226148,val,ENGINEERING_ACCEPTABLE
SIM_00012,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,37.8294,2003.23,26.88,7.9,26.81,15.816,16.871,1,NONE,,PASS,62.47446047149299,23.63371354960297,14.195686450397032,6.073132287093401,5328.200123148149,99.69683300034976,38.31202989159875,39.1687885619105,42.58326765694228,38.08358131957822,45.53125623348979,16.56404318641817,1.287299209367431,1.7097233386140038,4.547529791063632,19.443720515625003,1.219477930246604,20.663198445871608,0.8743102687820611,6.2450045135165055e-15,1.2490009027033011e-14,9.105997989612373,13.595817438753617,5328.200123148149,4.547529791063632,train,ENGINEERING_ACCEPTABLE
SIM_00013,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,38.2959,2911.17,32.77,9.37,26.16,13.557,24.175,1,NONE,,PASS,62.95547174679725,24.10936450468173,14.186535495318276,8.279583676254276,7844.498731838229,99.71559257356134,28.248339394542377,48.371190379968645,43.44029640483195,30.61139439820275,64.90156695881255,22.09404212600297,1.4335236207904043,2.479250866748828,6.680640526015319,16.6796595703125,10.559926608924956,27.239586179237456,1.1298342672594242,0.0,2.4980018054066022e-14,10.74755419682634,16.228951166633763,7844.498731838229,6.680640526015319,test,ENGINEERING_ACCEPTABLE
SIM_00019,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,24.6667,2533.16,73.4,7.32,34.19,12.418,18.893,1,NONE,,PASS,74.32734772601874,18.334103881533864,6.332596118466138,10.667134265004524,9836.270031911436,99.5789000984934,39.04350713529035,57.883646076947656,33.03442140816912,26.445057252612592,45.86262189692858,27.12840030811724,1.2896707009043116,2.215202272444501,8.60163895177089,9.767970375868051,3.615416317232846,13.3833866931009,0.7299722298716037,0.0,1.2490009027033011e-14,15.40089266490348,30.53643417015187,9836.270031911436,8.60163895177089,train,ENGINEERING_ACCEPTABLE
SIM_00020,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,32.6626,2248.32,55.66,9.0,34.54,17.0,17.253,1,NONE,,PASS,71.04192098715404,23.204138484350175,9.458461515649814,7.912060970886727,7744.640516042989,99.64809008633615,46.268453989165415,46.10600073370912,41.80925853036068,31.673129831663548,48.22416245891866,21.10029238551359,1.306698559760534,1.9683539008398017,6.780259647361228,18.130861824652776,0.4283935528811223,18.559255377533898,0.7998252290233063,6.2450045135165055e-15,1.2490009027033011e-14,12.318999642440016,22.56632253543755,7744.640516042989,6.780259647361228,train,ENGINEERING_ACCEPTABLE
SIM_00021,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,29.9501,2577.15,81.94,6.78,22.91,13.821,18.079,1,NONE,,PASS,67.44399718671067,20.199544601417035,9.75055539858296,9.221384656914069,7896.948357990575,99.64218673119863,37.92168934367686,47.55655804887269,36.39557585840907,31.702895107050956,44.389800421258144,20.941035541445284,1.2791634585102143,2.170956449397456,6.652282935932437,13.319215044270832,3.03935992681918,16.35857497109001,0.8098487017347127,0.0,0.0,12.845733432976392,21.37485228840309,7896.948357990575,6.652282935932437,train,ENGINEERING_ACCEPTABLE
SIM_00022,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,32.4859,2293.37,54.55,7.19,20.42,12.61,21.749,1,NONE,,PASS,69.72018607757724,22.649229928975664,9.836670071024342,7.433637884233981,7556.80751439603,99.67586399559453,32.46703838832229,55.16291126615299,40.80942329545165,29.84945119974616,59.74777461229935,26.794180723077847,1.3930697730311945,1.9156558033443825,6.312213977556693,13.08093266753472,7.304517431161762,20.38545009869648,0.9000504724717779,6.2450045135165055e-15,2.4980018054066022e-14,10.68181643179355,18.569044971865683,7556.80751439603,6.312213977556693,train,ENGINEERING_ACCEPTABLE
SIM_00023,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,37.4636,1813.6,43.57,8.59,23.12,13.338,23.62,1,NONE,,PASS,70.46726824400727,26.39957550586191,11.06402449413809,5.280295641728355,6128.383702732845,99.70885004181032,32.2040612125094,56.43878927827167,47.56680271326471,34.637556771599954,69.27937899710425,28.373735749322154,1.4688078167786989,1.5288358719459438,5.166129709851611,16.032274447916667,9.464580359054564,25.496854806971232,0.965805484308252,0.0,3.7470027081099033e-14,8.25814345164768,14.508754976869788,6128.383702732845,5.166129709851611,train,ENGINEERING_ACCEPTABLE
