simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split
SIM_00001,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.4329,1677.77,46.44,8.42,25.61,12.852,25.996,1,NONE,,PASS,94.60446262076499,19.330435242838288,1.1024647571617128,16.0745008541906,30813.664849146888,99.04191272616684,54.49989640981827,88.14170308746439,34.829613050159075,7.653071723434153,65.9813335196117,62.19638784456433,1.4421467677755386,1.426220107346845,26.19373834846253,8.399305377604165,4.388308719448097,12.787614097052263,0.6615274791492308,0.0,1.2490009027033011e-14,15.8246383043356,88.40115633437536,30813.664849146888,26.19373834846253,train
SIM_00002,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,38.4609,1803.86,25.82,6.54,29.29,18.557,24.893,1,NONE,,PASS,81.73701746768539,31.43679255122901,7.024107448770991,5.892950963337658,9850.763830379285,99.67331439450192,46.20720957079495,66.04938619730103,56.6428694616739,50.69197354364544,69.50617250097547,35.520847854815976,1.4706591977623926,1.5522931369944124,8.476973317247765,23.42876438802083,4.874890708117604,28.303655096138435,0.9003353331932685,0.0,0.0,9.180165407840999,24.768441607797044,9850.763830379285,8.476973317247765,train
SIM_00003,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,37.5022,2196.23,39.75,8.7,34.64,19.579,21.558,1,NONE,,PASS,76.73005307470099,28.775457964180514,8.726742035819493,7.147245770831757,9414.486081809184,99.67456751930209,48.229741948613196,55.05151451591871,51.84767200753246,41.121290157429456,57.38712430635995,25.854277893404433,1.3749233510142749,1.923375168789216,8.244850838329075,24.17557186284722,1.63746528825023,25.81303715109745,0.8970504373285505,6.2450045135165055e-15,0.0,11.244928301788304,24.557531843987135,9414.486081809184,8.244850838329075,val
SIM_00004,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,31.1786,1678.21,25.09,9.45,25.58,15.015,21.749,1,NONE,,PASS,82.42675324123985,25.699507686073208,5.479092313926793,6.358197161540315,9519.977540183923,99.6211322086306,44.7218359737854,68.20942397720303,46.30541925418596,39.585594776664216,60.51132742043881,37.314271455318845,1.3989903387830511,1.4264508861451541,8.091824264113145,15.158158421875,4.299164435797627,19.457322857672626,0.7571087779326109,0.0,6.2450045135165055e-15,9.997731486321321,27.163929626322382,9519.977540183923,8.091824264113145,train
SIM_00005,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.9554,2485.9,73.33,8.51,34.95,12.359,24.101,1,NONE,,PASS,86.21177602581126,19.79025803382908,3.165141966170919,12.599760173703322,17950.372198859528,99.49315096449159,41.57333244450875,76.40080368935429,35.658122583475816,26.00038973060513,60.740833268910436,40.75673322988119,1.400774833000569,2.1792498879188695,15.736090189656311,9.043271859375,5.67777851997407,14.72105037934907,0.7438533825170544,0.0,0.0,16.540253998756032,51.55587706297273,17950.372198859528,15.736090189656311,train
SIM_00006,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,32.9752,1620.86,37.41,7.35,34.71,10.527,25.786,1,NONE,,PASS,75.85535048999289,25.013453534776136,7.961746465223866,5.131979375081965,6696.999757183392,99.68337923231606,27.367940585288185,66.75758651954656,45.06928564824529,25.823836342104922,78.12319355883155,37.571322356718284,1.5427580771764966,1.4198107152709272,5.866312954490689,10.892979479166666,13.063869956346874,23.95684943551354,0.9577585678925302,0.0,6.2450045135165055e-15,8.882434694433341,17.11632853572359,6696.999757183392,5.866312954490689,test
SIM_00007,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,38.2612,2673.81,76.14,6.91,22.44,10.603,24.954,1,NONE,,PASS,59.3058370012867,22.691124906736306,15.570075093263707,7.476162592304899,6559.604627532104,99.72039290030686,20.792622441252536,48.623266856006204,40.88490974186722,22.58298796603098,70.82677894980574,22.611210802865962,1.4814861336470173,2.2488058397039743,5.5169504162761775,12.740116065972225,15.574811257022688,28.31492732299491,1.247841499236958,6.2450045135165055e-15,1.2490009027033011e-14,10.297794435536535,13.202490711443943,6559.604627532104,5.5169504162761775,val
SIM_00008,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,30.0594,2606.34,72.34,8.28,20.77,10.997,27.905,1,NONE,,PASS,78.44454878939796,23.579960698800292,6.4794393011997045,9.008977298824815,12058.54112266946,99.65434374261129,27.80863666765221,70.14123266883455,42.48641567351404,23.4500481472683,78.4865238125413,39.35220562408579,1.5458745325749854,2.179675727029089,10.084528261264733,10.420331067708334,13.078946022277545,23.49927708998588,0.9965782975703383,6.2450045135165055e-15,3.7470027081099033e-14,12.19005892850112,27.61231643938728,12058.54112266946,10.084528261264733,test
SIM_00009,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,24.1702,1913.83,58.9,8.33,21.24,18.207,20.858,1,NONE,,PASS,91.34652773416741,22.07863844640373,2.091561553596268,13.923394965607097,21969.34830036449,99.27248528000882,67.51526927890698,73.36141604457349,39.78133053406077,9.693868134111883,53.8056414760185,40.47751248944813,1.3478426156187069,1.603090687443197,18.402291566915732,14.429735286458335,0.8454127505940463,15.275148037052382,0.6918519035552425,6.2450045135165055e-15,0.0,19.548603676379315,77.10027880338845,21969.34830036449,18.402291566915732,train
SIM_00010,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,28.2249,1768.31,55.76,7.08,26.56,10.66,14.399,1,NONE,,PASS,59.75839941110085,16.866748475383805,11.35815152461619,6.604246310120012,4384.426519552048,99.62652214203844,31.757376613969168,41.03157441462525,30.39053779348433,25.41081065214627,38.14224685531906,17.643861732565856,1.2355361255220265,1.5079651896542605,3.738916009116881,9.454116460937499,2.8015991576271912,12.25571561856469,0.7266199313075254,6.2450045135165055e-15,3.7470027081099033e-14,10.418595830330977,13.788075977265308,4384.426519552048,3.738916009116881,train
