simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split
SIM_00045,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.6549,1523.66,44.91,7.78,30.17,19.781,22.33,0,OTHER,Unexpected simulation failure: Applied pressure (20.94 bar) is less than feed osmotic pressure (21.08 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_00122,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.7893,1699.46,44.01,9.49,31.0,19.538,23.192,0,OTHER,Unexpected simulation failure: Applied pressure (21.80 bar) is less than feed osmotic pressure (22.66 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_00291,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.6519,2587.95,42.38,8.76,24.1,19.922,27.822,0,OTHER,Unexpected simulation failure: Applied pressure (26.43 bar) is less than feed osmotic pressure (26.95 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_00316,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.7936,1785.08,83.75,8.81,22.89,18.7,24.173,0,OTHER,Unexpected simulation failure: Applied pressure (22.78 bar) is less than feed osmotic pressure (23.58 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_00520,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.4903,1708.92,57.97,8.62,25.57,19.848,26.817,0,OTHER,Unexpected simulation failure: Applied pressure (25.43 bar) is less than feed osmotic pressure (27.20 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_00555,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.0359,1575.47,89.1,8.61,34.44,18.929,23.924,0,OTHER,Unexpected simulation failure: Applied pressure (22.54 bar) is less than feed osmotic pressure (23.90 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_00644,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.7742,1799.81,77.48,9.26,26.93,19.945,27.713,0,OTHER,Unexpected simulation failure: Applied pressure (26.32 bar) is less than feed osmotic pressure (28.12 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_01015,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.9391,1513.2,57.44,7.18,30.0,17.728,26.457,0,OTHER,Unexpected simulation failure: Applied pressure (25.07 bar) is less than feed osmotic pressure (26.30 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_01412,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.1566,1727.65,31.1,9.16,33.77,19.449,23.139,0,OTHER,Unexpected simulation failure: Applied pressure (21.75 bar) is less than feed osmotic pressure (22.68 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_01551,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.7422,1790.57,30.26,7.99,22.86,19.887,25.267,0,OTHER,Unexpected simulation failure: Applied pressure (23.88 bar) is less than feed osmotic pressure (25.23 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
