variation_pct,r_spec_value,strategy_name,p1_bar,p2_bar,initial_recovery_pct,final_recovery_pct,recovery_decline_pct,permeability_decline_pct,total_cumulative_permeate_m3,total_cumulative_electricity_kwh,dynamic_average_sec_kwh_m3,specific_cumulative_volume_l_m2,time_to_15pct_decline_hours
-25.0,13536620385831.75,Authoritative Baseline,13.0,18.0,69.3597375971332,35.754012325257364,33.60572527187584,41.00891506359967,2314.1642093828123,2825.8017835445416,1.221089571814864,4169.665242131194,24.234088612813355
-25.0,13536620385831.75,Strategy A (Max Recovery),19.08,19.73,85.07626505436792,43.646165303910244,41.43009975045768,51.50300307527112,2843.529123850432,3287.194869758256,1.156026446919965,5123.475898829607,12.791900099377711
-25.0,13536620385831.75,Strategy B (Min Energy),15.3,15.3,69.84489801801566,39.611249594910234,30.23364842310542,45.06817027876345,2505.008252505574,2554.5406851474854,1.0197733610627302,4513.528382892926,22.23453441229852
-25.0,13536620385831.75,Strategy C (Min Stress),10.0,14.0,51.67210703197994,30.623608486571403,21.04849854540854,33.74878302522267,1911.831348055413,2203.274122579449,1.152441675789275,3444.741167667411,42.048803996071506
-25.0,13536620385831.75,Strategy D (Balanced Knee),15.05,15.8,70.224487298422,39.09971041282713,31.124776885594876,44.65478406708397,2484.4674280627696,2603.5678717105043,1.0479380177427409,4476.517888401387,22.218526562736063
0.0,18048827181109.0,Authoritative Baseline,13.0,18.0,69.3597375971332,32.66176481030349,36.697972786829716,45.439059350172315,2164.700592632868,2841.006244205086,1.31242456987996,3900.3614281673294,18.121796547086877
0.0,18048827181109.0,Strategy A (Max Recovery),19.08,19.73,85.07626505436792,39.90695625434865,45.16930880001927,55.72630941194473,2656.721641038772,3291.9190274806283,1.2390906810220041,4786.885839709498,9.552281663590968
0.0,18048827181109.0,Strategy B (Min Energy),15.3,15.3,69.84489801801566,36.310104817875356,33.5347932001403,49.78355385622574,2355.3221677720594,2556.08228828235,1.0852367982848787,4243.823725715422,16.638343094758113
0.0,18048827181109.0,Strategy C (Min Stress),10.0,14.0,51.67210703197994,28.102259202238418,23.569847829741523,38.33118281167048,1802.667240863416,2212.0290731488863,1.2270867429140166,3248.049082636786,31.49481331781059
0.0,18048827181109.0,Strategy D (Balanced Knee),15.05,15.8,70.224487298422,35.816333518156746,34.40815378026526,49.32723008767166,2333.5297364077137,2607.5988394462297,1.1174483010704737,4204.558083617502,16.624165162945093
25.0,22561033976386.25,Authoritative Baseline,13.0,18.0,69.3597375971332,30.352554757983686,39.00718283914952,48.85855152363916,2048.0190172126313,2852.778089406067,1.3929451169299778,3690.124355338074,14.457641748102063
25.0,22561033976386.25,Strategy A (Max Recovery),19.08,19.73,85.07626505436792,37.129399466403626,47.9468655879643,58.89581865209299,2512.078239557189,3295.5213292027906,1.3118704972277062,4526.267098301241,7.607957617288172
25.0,22561033976386.25,Strategy B (Min Energy),15.3,15.3,69.84489801801566,33.81888982926891,36.026008188746744,53.350818077831775,2236.548877200229,2557.29256150055,1.1434100938146439,4029.8177967571696,13.279873836590154
25.0,22561033976386.25,Strategy C (Min Stress),10.0,14.0,51.67210703197994,26.179942021283537,25.492165010696404,41.93414952354878,1714.9435040656722,2219.0234514173685,1.293933850390207,3089.9882956138235,25.160516267029603
25.0,22561033976386.25,Strategy D (Balanced Knee),15.05,15.8,70.224487298422,33.34445488194726,36.88003241647475,52.87142422110157,2214.1925585492163,2610.753159779127,1.1790994191985475,3989.53614153012,13.26648533380808
