feed_tds_mgL,strategy_name,p1_bar,p2_bar,initial_recovery_pct,final_recovery_pct,permeability_decline_pct,total_cumulative_permeate_m3,total_cumulative_electricity_kwh,dynamic_average_sec_kwh_m3,time_to_15pct_decline_hours
1500.0,Authoritative Baseline,13.0,18.0,74.25992201608918,36.40039838048257,41.65476958531998,2372.7861234873526,2820.005001615187,1.1884783772548972,21.910518325973435
1500.0,Strategy A (Max Recovery),19.08,19.73,89.71346582505001,43.755446648125634,51.58316601379993,2862.05515627697,3287.414090814751,1.1486201038456219,11.111440938749036
1500.0,Strategy B (Min Energy),15.3,15.3,74.91284723677212,40.118235033330265,45.74452223783803,2564.537565415426,2554.1880610194266,0.9959643779309106,19.886177711866146
1500.0,Strategy C (Min Stress),10.0,14.0,55.95124767285255,31.675655111975004,34.905860278466314,2000.4939377259614,2195.5471371871968,1.0975025196442034,37.985806168672816
1500.0,Strategy D (Balanced Knee),15.05,15.8,75.27933445191219,39.621856028585256,45.30565900950002,2542.8549854789176,2602.5971532184403,1.02349413084139,19.90120945993066
2041.0,Authoritative Baseline,13.0,18.0,69.3597375971332,32.66176481030349,45.439059350172315,2164.700592632868,2841.006244205086,1.31242456987996,18.121796547086877
2041.0,Strategy A (Max Recovery),19.08,19.73,85.07626505436792,39.90695625434865,55.72630941194473,2656.721641038772,3291.9190274806283,1.2390906810220041,9.552281663590968
2041.0,Strategy B (Min Energy),15.3,15.3,69.84489801801566,36.310104817875356,49.78355385622574,2355.3221677720594,2556.08228828235,1.0852367982848787,16.638343094758113
2041.0,Strategy C (Min Stress),10.0,14.0,51.67210703197994,28.102259202238418,38.33118281167048,1802.667240863416,2212.0290731488863,1.2270867429140166,31.49481331781059
2041.0,Strategy D (Balanced Knee),15.05,15.8,70.224487298422,35.816333518156746,49.32723008767166,2333.5297364077137,2607.5988394462297,1.1174483010704737,16.624165162945093
3000.0,Authoritative Baseline,13.0,18.0,61.76869870968195,27.986978531087747,49.63827938037932,1889.326028223974,2869.411363800151,1.5187486547769038,15.08305025394363
3000.0,Strategy A (Max Recovery),19.08,19.73,77.51280293585585,35.10529913690186,60.35532152030147,2383.1786707194483,3297.957733912421,1.383848292380367,8.265295918195749
3000.0,Strategy B (Min Energy),15.3,15.3,62.04434642400625,31.538689768032285,54.24185171478053,2075.943527048089,2558.626734616051,1.2325126870162595,14.042049606051192
3000.0,Strategy C (Min Stress),10.0,14.0,44.86146335948172,23.54477981017394,41.88244037422931,1534.003368544915,2234.9892225668,1.456965003073499,26.469844356328654
3000.0,Strategy D (Balanced Knee),15.05,15.8,62.43987816973958,31.049400605197597,53.77963739883349,2054.461580566132,2614.3230572070997,1.272510073654768,14.000562217582376
