simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split
SIM_00520,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,21.4903,1708.92,57.97,8.62,25.57,19.848,26.817,0,OTHER,Unexpected simulation failure: Applied pressure (25.43 bar) is less than feed osmotic pressure (26.66 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_00555,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,20.0359,1575.47,89.1,8.61,34.44,18.929,23.924,0,OTHER,Unexpected simulation failure: Applied pressure (22.54 bar) is less than feed osmotic pressure (23.44 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_00644,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,21.7742,1799.81,77.48,9.26,26.93,19.945,27.713,0,OTHER,Unexpected simulation failure: Applied pressure (26.32 bar) is less than feed osmotic pressure (27.37 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_01412,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,20.1566,1727.65,31.1,9.16,33.77,19.449,23.139,0,OTHER,Unexpected simulation failure: Applied pressure (21.75 bar) is less than feed osmotic pressure (22.03 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_01551,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,20.7422,1790.57,30.26,7.99,22.86,19.887,25.267,0,OTHER,Unexpected simulation failure: Applied pressure (23.88 bar) is less than feed osmotic pressure (24.78 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_01677,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,20.2761,2107.76,92.28,6.65,25.86,19.214,26.794,0,OTHER,Unexpected simulation failure: Applied pressure (25.41 bar) is less than feed osmotic pressure (25.77 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_01913,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,20.2614,1724.57,33.02,7.25,30.99,19.512,23.217,0,OTHER,Unexpected simulation failure: Applied pressure (21.83 bar) is less than feed osmotic pressure (22.16 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02012,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,21.4386,1854.77,48.99,8.55,30.24,19.983,27.111,0,OTHER,Unexpected simulation failure: Applied pressure (25.72 bar) is less than feed osmotic pressure (26.51 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02196,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,23.1964,1502.46,30.35,9.27,29.07,19.53,27.37,0,OTHER,Unexpected simulation failure: Applied pressure (25.98 bar) is less than feed osmotic pressure (26.03 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02667,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,21.4818,1607.5,30.2,7.38,26.5,19.708,27.508,0,OTHER,Unexpected simulation failure: Applied pressure (26.12 bar) is less than feed osmotic pressure (28.02 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
