Topology,N_Stage1,N_Stage2,Total_Elements,P1_bar,P2_bar,Overall_Recovery_Pct,Permeate_Flow_m3_h,Permeate_TDS_mg_L,Concentrate_TDS_mg_L,Overall_Salt_Rejection_Pct,Average_Flux_LMH,System_SEC_kWh_m3,Max_Element_Recovery_Pct,Max_Polarization_Modulus,Feasible,Near_70_Pct_Target
Concentrate Staging (A),2,1,9,15.0,15.0,44.76409208397879,13.429227625193635,5.418553828588071,3690.668824841134,99.73451475607114,40.32801088646737,1.1091336963323988,12.364945457166666,1.2690503898624301,True,False
Concentrate Staging (A),2,2,12,15.0,15.0,57.67768280604499,17.3033048418135,6.322096012105469,4813.898899199318,99.69024517334122,38.97140730138176,0.8608071701324257,16.455176923163133,1.2690503898624301,True,False
Concentrate Staging (A),3,1,12,15.0,15.0,57.663036068083294,17.29891082042499,6.32891854269161,4812.226395577941,99.68991089942716,38.96151085681304,0.8572037762207637,20.132141898009547,1.267180867616873,True,False
Concentrate Staging (A),3,2,15,15.0,15.0,68.80647923129601,20.641943769388803,7.6066466750669575,6526.246746336426,99.62730785521475,37.19269147637622,0.7183767112942582,20.132141898009547,1.267180867616873,True,True
Concentrate Staging (A),3,3,18,15.0,15.0,77.38768873797608,23.216306621392825,9.490538150169908,8993.576412032662,99.53500548014847,34.85931925134058,0.6387188075001788,27.277952995068144,1.267180867616873,True,False
Concentrate Staging (A),4,1,15,15.0,15.0,68.73980100371251,20.621940301113753,7.633946919478949,6512.282408440812,99.62597026362181,37.15664919119595,0.71616063572683,28.82926487597307,1.2651097170429133,True,True
Concentrate Staging (A),4,2,18,15.0,15.0,77.4133856671977,23.22401570015931,9.480570457704049,9003.831824739947,99.53549385312573,34.87089444468365,0.6359202502547848,28.82926487597307,1.2651097170429133,True,False
Concentrate Staging (A),4,3,21,15.0,15.0,83.01722147731194,24.90516644319358,12.119601249044647,11958.812517490524,99.40619298142849,32.0529812653714,0.5929943054045531,28.82926487597307,1.2651097170429133,True,False
Concentrate Staging (A),4,4,24,15.0,15.0,85.95379769977274,25.786139309931823,15.509814883624072,14435.70782871691,99.24008746283076,29.03844516884214,0.5727348983288111,34.12104323818432,1.2651097170429133,True,False
Concentrate Staging (A),5,1,18,15.0,15.0,77.26384630984225,23.179153892952673,9.538668896775174,8944.477088065816,99.53264728580228,34.80353437380281,0.6349405290965207,37.74862618653304,1.262809790635558,False,False
Concentrate Staging (A),5,2,21,15.0,15.0,82.97461326967624,24.89238398090287,12.136371052365867,11928.832661622046,99.40537133501392,32.03653021995222,0.5912404472023266,37.74862618653304,1.262809790635558,False,False
Concentrate Staging (A),5,3,24,15.0,15.0,85.92429162074843,25.77728748622453,15.522193455637087,14405.404052119593,99.23948096738671,29.0284768989015,0.5709438684991998,37.74862618653304,1.262809790635558,False,False
Concentrate Staging (A),5,4,27,15.0,15.0,87.21921151182855,26.165763453548564,19.427384388838686,15836.703583600758,99.04814383200203,26.191955408957522,0.56246722030215,37.74862618653304,1.262809790635558,False,False
Concentrate Staging (A),6,1,21,15.0,15.0,82.76819483861266,24.830458451583798,12.217857968640601,11785.6920995264,99.40137883544142,31.956831984020333,0.5911318611583135,45.34022671311833,1.2602509992051918,False,False
Concentrate Staging (A),6,2,24,15.0,15.0,85.83126528985878,25.74937958695763,15.561276150653038,14310.689001279448,99.23756608767012,28.997049084411746,0.5700360689596392,45.34022671311833,1.2602509992051918,False,False
Concentrate Staging (A),6,3,27,15.0,15.0,87.16871698381155,26.150615095143465,19.45053508795569,15774.301101173807,99.04700954983069,26.176791887030497,0.5612898612325501,45.34022671311833,1.2602509992051918,False,False
Concentrate Staging (A),6,4,30,15.0,15.0,87.81117591105372,26.34335277331612,23.568593267864397,16575.05372432076,98.84524285801743,23.73275024623074,0.5571832577350107,45.34022671311833,1.2602509992051918,False,False
Concentrate Staging (A),2,1,9,15.0,20.0,50.825233430566385,15.247570029169914,5.076791688110598,4145.255485647366,99.75125959391913,45.78849858609584,1.213898652096443,12.364945457166666,1.3694738057261255,True,False
Concentrate Staging (A),2,2,12,15.0,20.0,68.5723455650157,20.57170366950471,6.136603067259007,6480.890871294143,99.69933350968844,46.3326659223079,0.8997312523800858,26.601056964876722,1.363478467044166,True,True
Concentrate Staging (A),3,1,12,15.0,20.0,63.45263416112654,19.035790248337964,6.083183310112404,5573.972332041748,99.7019508422287,42.87340146022064,0.9302609337245025,20.132141898009547,1.3449245157879544,True,False
Concentrate Staging (A),3,2,15,15.0,20.0,78.41851679755491,23.525555039266475,7.726314599744567,9429.106978417585,99.6214446545936,42.38838745813779,0.7527240900818634,30.284312860138257,1.3361057348035605,True,False
Concentrate Staging (A),3,3,18,15.0,20.0,87.19850386749482,26.159551160248444,10.927047103677971,15869.018413015376,99.46462287586095,39.27860534571838,0.6769325628763759,40.836048339206236,1.3253149065869403,False,False
Concentrate Staging (A),4,1,15,15.0,20.0,74.09477342216928,22.228432026650783,7.486783662225815,7857.305082792729,99.63318061429564,40.051228876848256,0.763919826729127,28.82926487597307,1.3102416011048477,True,False
