variation_pct,r_spec_value,strategy_name,p1_bar,p2_bar,initial_recovery_pct,final_recovery_pct,recovery_decline_pct,permeability_decline_pct,total_cumulative_permeate_m3,total_cumulative_electricity_kwh,dynamic_average_sec_kwh_m3,specific_cumulative_volume_l_m2,time_to_15pct_decline_hours
-25.0,14662515692960.98,Authoritative Baseline,13.0,18.0,65.45429789069381,34.56529996551377,30.888997925180036,39.38830709715394,2223.572831934328,2835.274456458307,1.2750985331979652,4006.4375350168066,27.489478773671085
-25.0,14662515692960.98,Strategy A (Max Recovery),20.0,20.25,84.35334535399878,43.23364393771604,41.11970141628274,50.89680076646813,2809.3074396779034,3402.794842023029,1.2112575483775356,5061.815206626853,13.377101515759845
-25.0,14662515692960.98,Strategy B (Min Energy),15.8,15.8,68.34019356837709,38.86303116624656,29.47716240213053,44.131126994895666,2453.359639603599,2642.6251827348356,1.0771454539628023,4420.467819105584,23.508307652227263
-25.0,14662515692960.98,Strategy C (Min Stress),10.0,14.0,48.37652615001182,29.42204401641365,18.95448213359817,32.164062846907406,1822.1358651473215,2210.5658598253503,1.213172904451131,3283.1276849501287,46.96827589231612
-25.0,14662515692960.98,Strategy D (Balanced Knee),16.06,16.41,70.15815788579322,39.111670113218224,31.04648777257499,44.656146793321795,2482.2467353118936,2730.818573251747,1.1001398589446105,4472.51664020161,22.30129925666637
0.0,19550020923947.973,Authoritative Baseline,13.0,18.0,65.45429789069381,31.596248959995147,33.85804893069866,43.86825851302226,2082.724541945583,2849.488365251768,1.3681542171630197,3752.6568323343836,20.566519717788257
0.0,19550020923947.973,Strategy A (Max Recovery),20.0,20.25,84.35334535399878,39.55009102163819,44.80325433236059,55.17431384297253,2626.1674924403383,3405.7419175585214,1.2968487072367847,4731.833319712321,9.981263669685042
0.0,19550020923947.973,Strategy B (Min Energy),15.8,15.8,68.34019356837709,35.63937773527055,32.70081583310654,48.87696763856446,2307.689058997418,2644.111904741649,1.1457834383850616,4157.998304499853,17.592539846832395
0.0,19550020923947.973,Strategy C (Min Stress),10.0,14.0,48.37652615001182,27.040334022406736,21.336192127605084,36.74314980648445,1721.2575490546233,2218.6067035593696,1.2889452277364932,3101.3649532515738,35.184702348156016
0.0,19550020923947.973,Strategy D (Balanced Knee),16.06,16.41,70.15815788579322,35.84205654037419,34.31610134541903,49.34421022762354,2332.101587693782,2733.514174922849,1.1721248291014734,4201.9848426915,16.685482601156497
25.0,24437526154934.965,Authoritative Baseline,13.0,18.0,65.45429789069381,29.37174613141364,36.082551759280165,47.33898494904539,1972.250370837253,2860.558243908386,1.450403197386157,3553.604271778834,16.412789389424677
25.0,24437526154934.965,Strategy A (Max Recovery),20.0,20.25,84.35334535399878,36.80884002011603,47.544505333882746,58.38696556152511,2484.1731450393713,3407.995719145764,1.3718833270342559,4475.987648719588,7.947553096894245
25.0,24437526154934.965,Strategy B (Min Energy),15.8,15.8,68.34019356837709,33.20301038531388,35.13718318306321,52.47794335516718,2191.98345269285,2645.281712815282,1.2067982126259007,3949.519734581712,14.039641957845475
25.0,24437526154934.965,Strategy C (Min Stress),10.0,14.0,48.37652615001182,25.2143992596993,23.16212689031252,40.36355569786967,1639.680763974252,2225.076343203866,1.3570180196605677,2954.379754908562,28.113710707277416
25.0,24437526154934.965,Strategy D (Balanced Knee),16.06,16.41,70.15815788579322,33.37835134083601,36.779806544957204,52.89990133169806,2213.346931025099,2735.625778520391,1.2359679091309024,3988.0124883335116,13.316070934624072
