parameter_name,variation_pct,parameter_value,unit,annual_savings_vs_baseline_kes,annual_savings_vs_fixed_d_kes,digital_twin_lcow_kes_m3
water_purchase_cost,-50.0,46.5,KES/m3,1611030.8319556606,1545705.9445610428,21.064379884412407
water_purchase_cost,-25.0,69.75,KES/m3,2206777.409328888,2168200.2060692543,21.092843116443557
water_purchase_cost,0.0,93.0,KES/m3,2802523.986702118,2790694.4675774686,21.121306348474704
water_purchase_cost,25.0,116.25,KES/m3,3398270.564075345,3413188.72908568,21.14976958050585
water_purchase_cost,50.0,139.5,KES/m3,3994017.1414485723,4035682.9905938916,21.178232812536997
electricity_rate,-50.0,6.87,KES/kWh,2816314.050421452,2884027.3246070407,14.810152902711637
electricity_rate,-25.0,10.305,KES/kWh,2809419.018561786,2837360.8960922556,17.96572962559317
electricity_rate,0.0,13.74,KES/kWh,2802523.986702118,2790694.4675774686,21.121306348474704
electricity_rate,25.0,17.175,KES/kWh,2795628.954842452,2744028.0390626844,24.276883071356234
electricity_rate,50.0,20.61,KES/kWh,2788733.922982786,2697361.6105478983,27.43245979423777
cip_chemical_cost,-30.000000000000004,3150.0,KES/event,2832223.986702118,2820394.4675774686,20.649105264087005
cip_chemical_cost,0.0,4500.0,KES/event,2802523.986702118,2790694.4675774686,21.121306348474704
cip_chemical_cost,50.0,6750.0,KES/event,2753023.986702118,2741194.4675774686,21.908308155787534
cleaning_duration,-50.0,2.0,hours,2839923.986702118,2828094.4675774686,20.52668276072723
cleaning_duration,0.0,4.0,hours,2802523.986702118,2790694.4675774686,21.121306348474704
cleaning_duration,50.0,6.0,hours,2765123.986702118,2753294.4675774686,21.715929936222174
