clock_hour,q_feed_available_m3_h,c_feed_mg_l,temp_c
0,30.3974,2096.57,23.7
1,30.2776,2160.05,23.53
2,31.2682,1966.05,23.3
3,32.2791,2088.21,23.26
4,31.1117,2019.85,24.35
5,31.2616,2034.08,24.68
6,32.7634,2032.16,25.45
7,32.0628,2020.22,25.84
8,30.9235,2079.28,26.52
9,31.4947,2030.78,26.15
10,30.3793,2101.07,27.39
11,30.0156,2085.97,27.03
12,30.1936,2078.73,28.04
13,28.0811,2042.62,26.59
14,27.8701,2066.39,27.6
15,28.4895,2150.17,26.51
16,27.8907,2138.65,25.67
17,28.8025,2053.61,25.28
18,27.7736,2121.78,24.84
19,27.4213,2164.36,24.69
20,29.8735,2022.46,24.26
21,28.7587,2158.45,23.3
22,29.304,2089.21,23.26
23,28.472,2166.19,24.14
24,29.5645,2089.02,23.86
25,30.477,2029.26,23.29
26,29.8292,2042.5,23.29
27,31.3612,2145.49,23.65
28,30.8185,2160.51,24.31
29,31.2155,2092.83,23.97
30,31.0186,2187.43,24.87
31,32.9307,2051.3,24.68
32,31.2882,2148.74,26.2
33,30.2145,2081.61,26.74
34,31.408,2116.56,26.49
35,29.4116,2159.76,27.72
36,30.1671,2106.37,26.39
37,28.044,2135.83,26.2
38,28.1875,2220.04,26.84
39,29.0968,2125.63,26.94
40,29.2917,2210.81,26.84
41,28.6882,2093.13,25.29
42,28.4075,2192.79,25.54
43,28.3102,2247.41,24.46
44,27.5181,2012.37,23.91
45,28.3635,2112.43,24.03
46,28.8815,2194.28,23.59
47,30.4575,2146.73,22.28
48,30.2749,2180.26,23.74
49,28.9778,2120.67,23.76
50,31.0093,2160.86,22.96
51,30.7526,2144.93,23.78
52,30.7575,2222.77,24.25
53,31.9382,2166.25,24.61
54,32.3248,2169.37,24.72
55,32.1939,2122.38,25.18
56,30.6277,2115.67,25.99
57,30.8133,2116.65,27.0
58,31.015,2163.82,27.0
59,31.1687,2112.29,26.75
60,29.6167,2152.21,27.39
61,29.4632,2256.48,25.51
62,28.3649,2181.23,27.31
63,27.9824,2106.29,25.54
64,29.351,2194.69,25.82
65,29.6361,2094.79,24.96
66,28.4424,1993.53,24.35
67,29.3539,2051.77,25.06
68,28.9903,1996.35,23.77
69,28.4232,2083.75,23.76
70,29.5391,2102.11,23.24
71,30.8422,2197.66,23.31
72,29.9713,2112.68,23.04
73,31.6399,2075.84,22.43
74,28.6542,2134.61,23.77
75,31.7182,1947.97,23.34
76,31.3687,2090.51,23.22
77,31.2097,2118.31,24.27
78,31.5734,1978.99,25.75
79,29.8588,2131.93,25.94
80,31.1233,2079.19,25.83
81,31.3464,2029.52,26.24
82,31.9323,2087.93,26.57
83,29.9736,2181.73,27.97
84,29.3532,2051.91,27.19
85,29.2104,2051.41,27.15
86,29.9823,2004.47,27.25
87,29.2023,1976.57,26.53
88,28.2772,2072.94,25.87
89,28.9617,1967.33,25.42
90,28.5777,2018.59,24.96
91,29.326,1981.28,24.46
92,28.1393,2034.37,24.36
93,28.6772,2021.39,23.61
94,28.9363,2059.41,23.63
95,28.441,1962.41,23.03
96,30.2369,1972.74,23.04
97,30.5971,1926.2,22.07
98,30.7541,1954.34,23.73
99,30.873,1999.79,23.76
100,30.1667,2018.82,24.5
101,31.1124,1914.41,23.03
102,31.2258,2018.36,26.04
103,30.8071,2044.06,25.45
104,31.17,1984.19,26.55
105,31.3839,2068.75,25.89
106,32.2589,1906.61,27.04
107,30.5279,1875.36,26.41
108,30.206,1840.46,26.69
109,29.5522,2034.21,27.89
110,27.715,1981.11,26.64
111,28.9181,1936.06,26.52
112,28.7491,1953.88,26.44
113,30.5217,1867.38,25.77
114,28.3461,2079.63,25.08
115,28.7923,1938.77,24.66
116,28.6732,1935.86,25.2
117,28.0044,1971.28,23.56
118,30.1643,1955.19,23.37
119,30.2133,1938.52,23.59
120,30.6328,1876.58,23.55
121,29.6607,1951.38,23.66
122,31.8722,2035.26,23.59
123,29.9392,2002.48,23.01
124,31.7685,2016.93,24.82
125,33.2013,1890.41,23.91
126,30.7076,1861.62,25.15
127,30.9959,1913.54,25.14
128,31.3788,1924.68,25.97
129,30.6579,1987.41,26.58
130,29.5095,1820.79,26.89
131,30.4431,2014.87,27.14
132,29.1502,1914.53,27.81
133,29.9906,1899.48,27.16
134,28.5145,1865.61,26.61
135,30.1793,1828.44,26.9
136,28.0744,1978.69,26.59
137,28.2935,1935.41,24.9
138,29.1508,1855.49,25.3
139,27.5664,1857.2,24.83
140,28.8829,1916.93,23.85
141,29.9851,2039.53,24.27
142,27.964,1926.28,23.19
143,29.7595,1854.26,23.13
144,30.2079,1932.44,22.91
145,31.0137,1933.68,23.08
146,29.7604,1791.22,22.72
147,30.0043,1952.89,22.87
148,31.7166,1945.52,24.8
149,31.6865,2004.5,24.06
150,31.7004,2077.12,24.5
151,31.726,2037.34,24.44
152,30.755,1957.27,25.68
153,31.2465,1910.76,25.75
154,30.9845,2135.4,27.55
155,29.8167,1988.48,27.44
156,31.4926,1989.77,26.66
157,29.9908,1991.57,28.06
158,28.297,2009.04,27.22
159,29.4646,1992.7,26.25
160,27.9212,1971.21,24.75
161,29.1808,1977.13,26.66
162,29.4269,2012.33,24.31
163,27.8946,1986.09,23.66
164,29.4717,1980.34,24.51
165,29.2696,2033.95,24.81
166,29.9076,2016.73,23.96
167,31.1292,2126.75,23.35
168,29.8037,1881.94,23.3
169,29.7852,2110.98,23.49
170,30.0384,2124.73,23.65
171,30.408,1930.03,23.73
172,31.2374,2038.32,24.05
173,31.7218,2041.02,24.45
174,31.7214,1983.25,24.62
175,32.1106,2025.39,25.38
176,31.3094,2009.74,25.15
177,32.2235,2185.77,26.37
178,30.5383,2140.98,26.24
179,32.5644,2165.28,26.38
180,30.5005,2136.37,27.09
181,28.926,2029.33,27.63
182,28.3933,2069.53,27.19
183,29.3253,2134.21,25.63
184,28.5222,2035.27,25.51
185,29.1223,2155.04,25.99
186,28.8786,2101.4,24.51
187,28.4928,2096.79,24.37
188,28.0235,2165.28,24.28
189,27.7275,2152.51,23.1
190,28.8928,2107.31,23.32
191,30.2969,2201.52,22.4
192,30.1713,2069.96,22.7
193,29.3916,2174.51,23.23
194,30.8885,2175.73,22.47
195,31.3689,2124.03,23.81
196,30.592,2164.49,23.99
197,31.5719,2072.03,24.76
198,31.5466,2204.56,25.11
199,30.5345,2139.89,26.2
200,31.5853,2121.34,26.06
201,31.5093,2217.21,26.2
202,31.6164,2113.41,26.79
203,31.2313,2072.4,27.2
204,28.8979,2064.59,27.02
205,28.8615,2195.27,26.95
206,29.662,2082.83,26.38
207,29.3504,2265.53,26.08
208,29.113,2035.75,25.3
209,31.6333,2262.7,26.39
210,28.9567,2173.66,24.38
211,29.4596,2155.11,24.14
212,29.4642,2127.97,23.64
213,29.4605,2184.19,24.03
214,28.9978,2157.4,23.12
215,30.2189,2225.11,23.69
216,29.3817,2164.85,22.66
217,30.1988,2165.93,23.21
218,30.3617,2133.85,22.85
219,31.1262,2150.85,24.66
220,33.1508,2171.17,23.41
221,29.9551,2048.38,24.64
222,32.049,2068.23,25.32
223,30.1587,2191.69,25.72
224,30.9215,2155.17,25.91
225,31.9318,2131.57,26.35
226,30.8014,2141.25,26.75
227,29.526,2158.41,26.86
228,29.4278,2102.43,27.48
229,30.1554,2085.26,28.04
230,28.6657,2140.72,26.45
231,29.1125,2067.15,25.73
232,28.7374,2147.12,25.96
233,28.0298,2017.12,26.81
234,30.2152,2177.57,24.6
235,29.0582,2140.61,25.3
236,27.0808,2123.96,24.84
237,29.0885,2163.81,23.31
238,28.7206,2200.93,23.55
239,30.2937,2157.93,23.88
240,29.366,1982.61,22.81
241,30.2964,2012.21,22.97
242,31.154,2047.35,22.98
243,31.7533,2082.2,23.08
244,30.3388,2107.43,23.68
245,31.1813,2028.51,23.87
246,31.12,2078.91,25.02
247,30.9262,2017.99,25.13
248,32.7114,2022.19,26.12
249,31.3846,1970.04,25.64
250,29.7413,1994.57,26.9
251,31.1225,1964.39,27.35
252,31.6977,1982.45,26.0
253,30.4377,2099.73,27.12
254,28.0345,1975.07,27.35
255,28.552,2185.51,25.81
256,29.7145,2052.71,26.84
257,27.985,2029.78,25.73
258,28.8551,1962.8,24.65
259,29.1708,2051.96,24.45
260,27.9594,1971.09,24.28
261,28.8917,2008.69,23.62
262,26.657,2150.76,23.54
263,28.7923,1987.25,22.61
264,29.7979,2057.89,23.08
265,29.39,1942.74,22.36
266,32.0559,1978.9,23.21
267,29.9165,2083.4,23.13
268,30.947,1935.78,23.63
269,31.5535,2078.49,25.1
270,32.653,2008.65,25.55
271,30.3002,1928.98,25.82
272,32.2296,1997.32,25.45
273,31.0688,2014.5,26.26
274,29.9648,1990.34,27.34
275,30.7579,1855.83,27.0
276,30.1592,1903.55,28.16
277,29.1316,1929.6,27.13
278,29.3058,1937.39,26.83
279,28.6311,1976.63,26.26
280,28.7918,1947.74,26.07
281,29.0808,1854.79,25.44
282,29.7688,1955.7,25.35
283,27.5609,1967.65,24.96
284,30.4074,1962.88,23.61
285,27.3777,1992.58,22.92
286,29.1286,1976.37,22.35
287,30.0824,1952.64,23.32
288,30.2248,1919.8,22.45
289,29.8901,1823.43,21.99
290,30.5835,1948.12,23.46
291,30.6663,1934.22,24.83
292,30.8275,1937.63,24.0
293,32.1286,1844.48,24.9
294,31.7856,1856.14,25.04
295,30.8946,1984.27,25.47
296,32.0187,1918.96,26.46
297,31.3065,1962.64,26.27
298,31.4003,1924.04,26.87
299,30.8919,1924.88,27.09
300,29.3368,1980.31,26.67
301,29.1636,1894.13,27.43
302,29.8478,1932.1,26.64
303,29.4276,1900.0,26.04
304,28.6842,1903.23,26.27
305,28.645,1912.46,25.07
306,29.5221,1946.21,25.01
307,28.0779,1906.18,24.48
308,29.1386,2012.42,24.54
309,28.7776,1885.72,23.82
310,29.0759,1930.64,23.26
311,30.4908,1918.06,23.48
312,30.6603,2034.0,23.7
313,31.039,1961.84,23.35
314,31.7944,2014.94,23.27
315,31.0775,1867.01,22.93
