clock_hour,q_feed_available_m3_h,c_feed_mg_l,temp_c
0,31.3344,2115.01,22.78
1,30.9781,2047.29,23.58
2,30.5888,2085.83,23.71
3,30.9399,2052.2,23.61
4,32.0319,1992.85,22.99
5,32.3772,2055.1,24.6
6,29.404,1965.42,23.92
7,30.3887,2037.81,25.51
8,31.667,2077.66,27.15
9,31.1423,2057.07,26.63
10,31.5928,2075.68,26.44
11,31.6875,2144.75,26.6
12,28.7995,2071.3,26.96
13,29.3895,2046.88,27.07
14,30.2052,2071.61,26.9
15,29.6288,2098.31,27.17
16,28.3673,2100.05,26.81
17,28.3515,2070.08,25.41
18,29.2549,2167.92,25.79
19,27.9381,2084.46,25.0
20,28.8675,2122.67,23.53
21,30.0663,2149.16,24.54
22,28.0587,2156.64,23.79
23,28.4311,2025.81,22.17
24,30.7927,2164.66,22.67
25,29.6816,2144.08,23.36
26,30.4571,2104.1,23.58
27,29.8329,2223.43,24.06
28,31.0178,2126.7,24.06
29,31.9608,2082.24,23.82
30,32.0514,2172.6,25.32
31,32.0547,2178.63,24.64
32,30.1546,2166.96,25.42
33,30.7176,2031.41,26.0
34,30.202,2140.98,26.45
35,30.2877,2056.96,26.94
36,30.9157,2168.03,27.24
37,29.8735,2245.42,26.72
38,29.1406,2105.89,26.94
39,29.0827,2225.87,26.41
40,29.4761,2147.66,26.7
41,28.5558,2265.1,25.52
42,28.9724,2252.2,25.5
43,28.2371,2187.26,23.66
44,28.7297,2102.22,23.96
45,28.6747,2130.49,24.29
46,29.897,2058.14,23.09
47,29.6544,2121.03,23.39
48,28.9449,2043.05,22.68
49,29.5244,2247.96,23.16
50,30.4492,2209.89,22.3
51,31.1796,2189.08,23.99
52,32.751,2117.77,25.09
53,31.8909,2088.02,25.28
54,31.0686,2156.12,25.29
55,32.1905,2249.98,25.9
56,32.2581,2100.63,26.45
57,31.075,2116.48,26.02
58,31.5627,2109.17,26.32
59,29.4408,2144.15,27.16
60,31.4113,2165.96,26.95
61,28.9975,2033.99,27.45
62,29.4589,2076.53,26.7
63,27.7506,2044.3,25.64
64,29.0721,2034.53,25.99
65,29.0984,2107.24,26.03
66,26.5905,2168.86,25.96
67,28.5451,2036.22,24.83
68,28.2634,2167.47,24.64
69,29.3193,2101.38,23.81
70,28.0248,2061.81,23.64
71,31.1498,2106.64,22.58
72,29.8834,2159.56,23.0
73,30.1457,1977.12,23.1
74,30.0223,2023.47,23.14
75,31.8668,2048.28,23.63
76,32.5763,2117.22,23.7
77,30.4167,1916.32,25.3
78,31.0933,2037.96,25.2
79,32.1947,2056.62,26.1
80,31.6952,2104.44,25.44
81,30.4228,2051.05,25.92
82,30.9492,2043.8,26.6
83,31.1851,2120.18,26.97
84,29.2813,1968.08,26.84
85,30.04,2055.68,26.28
86,30.1157,1930.3,27.29
87,29.0134,2051.54,26.53
88,28.1926,1883.29,25.7
89,29.0247,1898.13,25.89
90,28.1333,1981.06,25.7
91,30.4698,2033.02,24.67
92,27.8978,2048.97,23.9
93,29.1995,1959.02,23.24
94,30.3695,2123.48,23.2
95,29.2538,1871.84,23.41
96,29.0182,2029.78,23.69
97,29.5056,1961.86,23.41
98,30.0717,1941.73,23.21
99,30.6242,1958.57,23.84
100,31.3688,1964.57,23.8
101,31.532,2032.82,24.42
102,32.052,1912.88,24.88
103,31.8254,1911.78,24.71
104,30.0106,1920.26,25.83
105,31.9632,1973.27,27.16
106,30.186,2006.17,26.89
107,29.0825,2059.69,27.36
108,30.321,1801.05,26.06
109,29.4958,1846.25,27.68
110,28.7541,1861.16,27.56
111,28.5357,1955.09,26.64
112,29.4359,1966.28,26.21
113,28.5346,1867.22,26.47
114,28.3617,1985.51,25.31
115,28.7251,1908.42,24.15
116,27.6556,1881.55,24.35
117,29.0044,1881.99,24.48
118,29.0521,1870.63,24.12
119,30.2608,1914.0,23.74
120,30.0877,1929.9,23.71
121,31.9038,1897.82,22.72
122,31.2222,2031.12,23.78
123,31.2074,1863.66,24.29
124,30.7961,2052.53,23.34
125,30.5599,1910.21,24.03
126,30.7384,2046.27,24.98
127,32.8711,1978.2,24.93
128,31.7421,2003.24,25.78
129,30.7721,1967.97,26.61
130,31.7754,1811.04,26.37
131,28.7472,1908.22,26.15
132,29.2922,1891.81,27.23
133,29.449,2031.48,26.75
134,27.1657,1955.34,27.04
135,30.24,1966.51,26.05
136,29.8793,1833.24,24.37
137,28.147,1910.07,24.7
138,28.5356,1943.83,25.43
139,28.3989,1951.98,24.61
140,29.7436,1942.42,24.1
141,29.6489,1989.14,23.93
142,29.2922,2016.8,22.77
143,31.5797,1851.55,23.21
144,29.2447,1863.5,23.0
145,30.0786,1934.03,22.71
146,31.1656,1946.5,22.93
147,31.3593,1938.01,22.79
148,31.8524,1932.65,24.18
149,31.4074,1858.84,23.19
150,32.3752,1962.92,25.29
151,32.2173,1955.86,25.77
152,32.0677,1941.98,26.6
153,31.2722,1915.58,26.31
154,31.6366,2110.06,27.55
155,29.9111,1943.54,27.12
156,31.2835,1942.23,27.09
157,29.9656,2016.72,27.26
158,29.7724,2028.31,26.6
159,27.782,1979.69,26.67
160,27.5689,2090.02,26.03
161,27.5382,2049.96,26.44
162,29.6414,1916.76,25.32
163,28.2576,2081.13,24.8
164,27.9951,2045.67,24.15
165,29.0843,2114.87,24.52
166,27.2415,1934.62,22.84
167,31.7714,2068.51,22.29
168,31.3115,1992.37,23.0
169,30.3398,2051.59,23.03
170,30.5691,2112.95,23.51
171,31.519,2047.85,23.91
172,31.6437,2060.08,24.0
173,31.7162,2118.65,24.04
174,31.4271,2128.07,24.59
175,31.9571,2083.85,25.58
176,31.4885,2037.73,26.03
177,30.7549,2126.5,26.74
178,30.2897,2101.96,27.14
179,31.2497,2194.98,26.82
180,30.0585,2024.74,26.53
181,29.5572,2000.88,26.88
182,28.6201,2158.38,27.03
183,28.5628,2124.19,26.28
184,28.5546,2128.05,26.49
185,28.3589,2150.2,25.07
186,28.771,2048.67,24.82
187,28.6831,2097.23,24.46
188,28.6241,2075.02,24.08
189,28.733,2168.61,23.48
190,29.1036,2054.19,23.09
191,30.4439,2126.06,23.23
192,29.9293,2086.73,23.33
193,31.8647,2145.64,23.24
194,31.6366,2184.78,23.64
195,30.2481,2171.78,23.41
196,30.4706,2155.84,24.23
197,33.2122,2091.22,24.97
198,30.6857,2116.59,25.16
199,29.6299,2140.29,25.18
200,32.1555,2182.06,25.82
201,32.7448,2124.56,26.74
202,30.5324,2110.5,27.0
203,30.6442,2239.06,26.94
204,29.659,2036.29,27.68
205,30.4091,2112.04,27.35
206,30.1215,2198.04,27.24
207,26.2748,2106.47,25.82
208,29.1131,2175.44,26.03
209,27.76,2080.46,25.14
210,29.395,2207.31,24.8
211,27.5524,2110.76,24.34
212,28.9405,2152.92,24.95
213,28.7926,2231.57,23.11
214,28.6804,2264.48,23.06
215,28.5053,2115.64,23.61
216,28.9081,2172.02,23.85
217,30.0043,2237.26,23.32
218,30.2297,2187.14,23.9
219,32.5564,2268.54,23.45
220,31.1663,2202.49,24.74
221,31.963,2224.97,24.22
222,30.6824,2213.11,24.86
223,30.6696,2092.66,24.87
224,30.6808,2254.69,26.15
225,31.3159,2174.97,26.82
226,30.3458,2177.97,26.3
227,29.7032,1993.94,26.88
228,30.2885,2087.2,27.2
229,29.0793,2225.77,26.88
230,28.7494,2074.7,26.05
231,27.8616,2060.8,26.69
232,28.2471,2088.48,25.32
233,27.935,2240.99,25.42
234,27.7068,2112.97,26.16
235,28.7993,2264.48,25.03
236,28.4082,2047.65,23.32
237,29.1439,2180.32,23.51
238,30.259,2202.22,23.5
239,30.433,2004.48,22.73
240,28.5507,2127.26,21.89
241,30.4789,2122.43,23.13
242,30.127,2076.99,23.32
243,30.9344,2153.24,23.51
244,32.0867,2071.29,23.39
245,31.7035,2084.46,24.82
246,31.3698,2110.98,24.22
247,31.3,2104.63,26.11
248,31.3036,2084.28,26.21
249,29.8876,2136.76,26.38
250,30.6279,1927.55,26.68
251,31.2947,2110.6,25.68
252,29.3777,2130.15,26.84
253,29.6073,2154.18,27.4
254,30.1879,2057.57,26.59
255,30.5075,2002.83,27.13
256,27.0034,1940.1,26.68
257,28.2475,2028.36,25.19
258,27.7198,2007.29,24.16
259,27.9923,1978.93,24.47
260,29.7362,1912.82,24.23
261,28.9538,1927.1,23.81
262,29.1836,1972.08,22.97
263,28.8639,1990.06,23.7
264,31.0054,2022.97,23.24
265,29.875,2039.64,22.72
266,30.5384,1976.77,22.8
267,31.3708,1956.61,23.81
268,30.9945,1957.41,24.55
269,31.5874,1937.43,24.63
270,31.3457,1947.67,24.71
271,31.2739,2018.16,25.6
272,30.2808,1924.76,25.84
273,30.8527,1976.28,26.16
274,32.6869,1982.04,27.53
275,30.045,1963.34,27.46
