clock_hour,q_feed_available_m3_h,c_feed_mg_l,temp_c
0,30.3974,2039.02,23.44
1,30.2776,2015.27,23.09
2,31.2682,2039.63,22.81
3,32.2791,2097.32,23.35
4,31.1117,2135.56,24.17
5,31.2616,2097.54,25.39
6,32.7634,2073.81,24.76
7,32.0628,2161.94,25.92
8,30.9235,2057.6,25.84
9,31.4947,2142.49,26.47
10,30.3793,2067.56,27.49
11,30.0156,2114.85,27.31
12,30.1936,2086.25,26.38
13,28.0811,2093.72,26.65
14,27.8701,2078.36,27.36
15,28.4895,2185.54,26.49
16,27.8907,2064.62,25.43
17,28.8025,2067.84,25.11
18,27.7736,2243.08,25.35
19,27.4213,2177.95,24.98
20,29.8735,1979.51,24.01
21,28.7587,2091.94,24.82
22,29.304,2020.25,23.68
23,28.472,2074.92,22.95
24,29.5645,1946.51,22.59
25,30.477,2129.33,22.58
26,29.8292,2071.63,23.44
27,31.3612,2146.2,23.34
28,30.8185,2047.42,24.84
29,31.2155,2152.07,25.22
30,31.0186,2124.22,25.32
31,32.9307,2241.1,24.93
32,31.2882,2237.39,25.66
33,30.2145,2201.39,27.04
34,31.408,2136.07,26.45
35,29.4116,2276.03,27.49
36,30.1671,2064.81,27.24
37,28.044,2074.69,26.96
38,28.1875,2154.63,26.38
39,29.0968,2295.49,26.37
40,29.2917,2148.52,26.09
41,28.6882,2149.92,26.03
42,28.4075,2074.49,24.56
43,28.3102,2217.67,24.35
44,27.5181,2217.86,24.02
45,28.3635,2207.59,23.92
46,28.8815,2121.91,22.81
47,30.4575,2116.51,22.41
48,30.2749,2080.4,23.34
49,28.9778,2161.94,22.31
50,31.0093,2090.84,23.91
51,30.7526,2083.62,23.51
52,30.7575,2127.28,23.23
53,31.9382,2121.64,24.24
54,32.3248,2116.84,25.19
55,32.1939,2175.08,25.25
56,30.6277,2149.67,26.01
57,30.8133,2125.32,26.78
58,31.015,2151.13,26.63
59,31.1687,2078.06,26.46
60,29.6167,2141.14,26.85
61,29.4632,2140.99,27.64
62,28.3649,2038.78,27.57
63,27.9824,2185.59,25.4
64,29.351,2069.73,26.55
65,29.6361,2124.69,25.64
66,28.4424,2185.68,25.46
67,29.3539,2167.8,24.21
68,28.9903,2110.66,23.12
69,28.4232,2083.09,23.88
70,29.5391,2157.85,22.8
71,30.8422,2137.55,22.37
72,29.9713,2055.96,22.34
73,31.6399,2041.29,23.37
74,28.6542,1960.5,23.34
75,31.7182,2089.88,23.98
76,31.3687,2071.41,24.33
77,31.2097,2140.23,24.27
78,31.5734,2089.25,24.96
79,29.8588,2143.36,25.26
80,31.1233,2017.04,25.89
81,31.3464,2122.72,25.93
82,31.9323,2018.23,26.93
83,29.9736,2092.14,27.47
84,29.3532,1953.47,26.59
85,29.2104,2050.62,27.57
86,29.9823,1912.95,26.79
87,29.2023,2011.54,26.53
88,28.2772,2049.54,25.15
89,28.9617,1987.43,24.61
90,28.5777,1951.27,25.07
91,29.326,2060.71,24.88
92,28.1393,1999.42,23.66
93,28.6772,1971.99,24.42
94,28.9363,1999.67,23.64
95,28.441,2151.21,22.61
96,30.2369,2058.14,23.02
97,30.5971,2054.68,24.31
98,30.7541,2007.13,22.65
99,30.873,1987.15,23.85
100,30.1667,1829.64,23.84
101,31.1124,1929.0,24.84
102,31.2258,1937.35,25.63
103,30.8071,1850.23,25.32
104,31.17,1889.93,26.56
105,31.3839,1837.3,27.52
106,32.2589,1950.73,26.77
107,30.5279,1999.17,27.32
108,30.206,2013.59,26.7
109,29.5522,1969.34,26.94
110,27.715,1884.05,26.64
111,28.9181,1823.47,26.81
112,28.7491,1831.66,26.6
113,30.5217,1858.77,25.46
114,28.3461,1879.55,25.77
115,28.7923,1921.43,25.25
116,28.6732,1868.45,24.42
117,28.0044,1948.07,23.33
118,30.1643,1912.39,22.96
119,30.2133,1925.72,22.66
120,30.6328,1992.42,23.47
