Model,Dataset,Target,R2,RMSE,MAE,NRMSE_pct,MAPE,Max_Error
Linear Regression,Boundary Stress Set,overall_recovery_pct,0.621268360695611,3.630592376075182,2.4725340895381334,13.364859290461117,2.801975467420035,16.539028527743298
Linear Regression,Boundary Stress Set,permeate_tds_mgL,0.2739615289966748,3.4502914627634262,2.2791851286955898,16.024880624035283,16.624799817832304,13.884996620359232
Linear Regression,Boundary Stress Set,concentrate_tds_mgL,-0.18248898973042893,7232.441260301876,5417.732110588592,25.628777426500143,26.7417138443592,20356.899543659514
Linear Regression,Boundary Stress Set,average_flux_LMH,0.48705119911433137,4.389614970658003,2.9869738288764935,14.275654288245255,7.865377845733098,15.563688502262266
Linear Regression,Boundary Stress Set,SEC_kWh_m3,0.5816977532999557,0.0666132252343613,0.04734772168928028,10.908677729412824,6.218355713528578,0.29826867098221677
Linear Regression,Boundary Stress Set,maximum_element_recovery_pct,0.18919519166625498,6.380312424456509,5.329941223046276,19.719662960553062,12.472663685923342,17.39922775426757
Linear Regression,Boundary Stress Set,maximum_polarization_modulus,0.7155493039722758,0.036206284925585766,0.025515491264092215,10.700342952690445,1.8834458972700838,0.15681742446396818
Random Forest,Boundary Stress Set,overall_recovery_pct,-1.1984620682618465,8.747242887872344,7.959944429498028,32.20016412370711,9.241750621268833,21.261485554660226
Random Forest,Boundary Stress Set,permeate_tds_mgL,0.45737067632924977,2.982823778027918,1.9014716655993955,13.853726701438593,14.188472814224518,12.262813791790682
Random Forest,Boundary Stress Set,concentrate_tds_mgL,-0.059829307893171535,6847.063015515526,5240.51333967794,24.263156482593242,27.488416034181633,22229.0445768444
Random Forest,Boundary Stress Set,average_flux_LMH,0.7726446748672698,2.9224156454775,2.413003463618144,9.504112711539745,5.784053972142109,8.04314445336766
Random Forest,Boundary Stress Set,SEC_kWh_m3,0.8851998302718206,0.034896882248770016,0.02712542491307293,5.714763710566179,3.4033493884473223,0.13466454986905552
Random Forest,Boundary Stress Set,maximum_element_recovery_pct,-2.335997796536509,12.941859035187454,10.978811377169226,39.99946731113632,25.491662599195497,33.09667948889353
Random Forest,Boundary Stress Set,maximum_polarization_modulus,0.614841937630419,0.04213082475602437,0.029559996775004125,12.45127122806754,2.165485591286589,0.16896747763199782
XGBoost,Boundary Stress Set,overall_recovery_pct,-0.02799604727999605,5.981462989750492,5.310320300292994,22.018834098785856,6.175104549933582,17.132590024713622
XGBoost,Boundary Stress Set,permeate_tds_mgL,0.6074081149325468,2.5371528154190752,1.6481460091949567,11.783807666921572,12.174429133050838,10.740213993376397
XGBoost,Boundary Stress Set,concentrate_tds_mgL,-0.027755650337013105,6742.660589951296,5037.034054555597,23.893197511442093,25.70626575598852,22104.400225086207
XGBoost,Boundary Stress Set,average_flux_LMH,0.9048510956872122,1.8905636988644317,1.4251355777077657,6.1483829345627505,3.6060422474390195,6.895908799463719
XGBoost,Boundary Stress Set,SEC_kWh_m3,0.9409118734171046,0.02503603057712639,0.020738779746830895,4.099936434975648,2.645297549936266,0.07743073021599411
XGBoost,Boundary Stress Set,maximum_element_recovery_pct,-1.5277185357741585,11.265439617890449,9.378135325351513,34.81814958084669,21.6315078676309,30.413779797182258
XGBoost,Boundary Stress Set,maximum_polarization_modulus,0.732753193717594,0.035094311478526236,0.02273620110168487,10.371712239479267,1.6673219253388654,0.1562664509599203
ANN / MLP,Boundary Stress Set,overall_recovery_pct,0.8611187654617862,2.19853549529256,1.2638792586856404,8.093202016645462,1.4106768590172416,11.647785508869148
ANN / MLP,Boundary Stress Set,permeate_tds_mgL,0.9140292108941926,1.187275273964919,0.6684599494355844,5.514300672418628,4.74972489750045,5.985954678171565
ANN / MLP,Boundary Stress Set,concentrate_tds_mgL,0.8988480559240924,2115.3073543128485,1228.5958221197375,7.495773476915881,5.487241657234005,10776.811206471142
ANN / MLP,Boundary Stress Set,average_flux_LMH,0.9087427421405099,1.851497484160263,1.0660612552765556,6.021334029546036,2.8142206257381757,8.509828728224868
ANN / MLP,Boundary Stress Set,SEC_kWh_m3,0.9692201874104812,0.01806959208216946,0.010603699772578887,2.9591024309787914,1.415249422144021,0.11029613103571156
ANN / MLP,Boundary Stress Set,maximum_element_recovery_pct,0.837791628872421,2.853779534518906,2.0881505167809817,8.820190429660743,4.718003847316211,10.407358985425873
ANN / MLP,Boundary Stress Set,maximum_polarization_modulus,0.9185183383863051,0.0193780647516094,0.009949965113851577,5.726959808989795,0.7307135956164587,0.12292001524931817
