Model,Dataset,Target,R2,RMSE,MAE,NRMSE_pct,MAPE,Max_Error
Linear Regression,Synthetic OOD Set,overall_recovery_pct,0.7628812555167316,3.5995024613146502,3.1678795424497372,10.822884100840668,6.433029286580797,6.935402171505224
Linear Regression,Synthetic OOD Set,permeate_tds_mgL,0.3022645806494093,0.42745293886134056,0.33411299115938886,15.20015762816542,3.5498665651441654,1.654416226113339
Linear Regression,Synthetic OOD Set,concentrate_tds_mgL,0.6770727461972932,702.7342785650335,571.3583009008446,12.82441857306083,8.284156528111422,2133.4758061251196
Linear Regression,Synthetic OOD Set,average_flux_LMH,0.9958018400829043,0.37418155677759724,0.278592502088037,1.4417521989583733,0.7286121183869836,1.1878643940819593
Linear Regression,Synthetic OOD Set,SEC_kWh_m3,0.8450148450884589,0.04419802956667337,0.03159524010476255,9.451872982364524,2.218540876725962,0.1260363405719096
Linear Regression,Synthetic OOD Set,maximum_element_recovery_pct,0.43806710127384185,2.967027829873365,2.2360126008708066,18.34035940016577,18.56208382182003,7.7734328388451015
Linear Regression,Synthetic OOD Set,maximum_polarization_modulus,0.9907655618160519,0.008085213528283728,0.005202061063428131,2.5297965433415945,0.3786349283934571,0.03949913750506595
Random Forest,Synthetic OOD Set,overall_recovery_pct,-0.4058129259612977,8.764422348104844,8.579550203349354,26.35262187033262,16.428996042385467,12.139362412762082
Random Forest,Synthetic OOD Set,permeate_tds_mgL,-0.4836358340188489,0.6233135666307794,0.5211399733444787,22.164929991591926,5.504084091785756,1.526820778501115
Random Forest,Synthetic OOD Set,concentrate_tds_mgL,0.7800070969795697,580.0202071991025,436.7180013545101,10.58497094114128,5.595378802065509,1638.1439312891926
Random Forest,Synthetic OOD Set,average_flux_LMH,0.9299707498701272,1.5282437439271752,1.3879721186947467,5.88844837069559,3.3731775490316878,3.2716160331821627
Random Forest,Synthetic OOD Set,SEC_kWh_m3,-2.7201019283124372,0.2165385762479922,0.20781029136390153,46.307383802950056,15.21461742856082,0.3623085906282786
Random Forest,Synthetic OOD Set,maximum_element_recovery_pct,-0.3550295113819366,4.607377184632253,4.464486948572295,28.480000291027274,29.522240389735856,6.811069406919039
Random Forest,Synthetic OOD Set,maximum_polarization_modulus,0.9655439900864312,0.0156177600696905,0.01240791648713366,4.88666815054769,0.8955598493455406,0.054153507938987655
XGBoost,Synthetic OOD Set,overall_recovery_pct,-0.029597370396871714,7.500552303065355,7.328256121935341,22.552452496093387,13.84999151074294,10.959684157477056
XGBoost,Synthetic OOD Set,permeate_tds_mgL,-0.536769156670877,0.6343767245465278,0.530271288968996,22.558334104411024,5.61442790825487,1.4277273759399058
XGBoost,Synthetic OOD Set,concentrate_tds_mgL,0.7464736254864719,622.659131786024,492.9159119513986,11.363102068492074,6.319250196870335,1589.6271410050558
XGBoost,Synthetic OOD Set,average_flux_LMH,0.958308497681404,1.1791706504512993,1.03811830200768,4.543441138243513,2.5047623746091094,2.6827751209153945
XGBoost,Synthetic OOD Set,SEC_kWh_m3,-2.1032235491153273,0.19777181008011263,0.19109035244331118,42.29405805409622,14.021071205729918,0.317552488536224
XGBoost,Synthetic OOD Set,maximum_element_recovery_pct,0.012964125351165423,3.9322929016924992,3.766905227732658,24.307040317461155,24.869940289781887,6.4764288574230235
XGBoost,Synthetic OOD Set,maximum_polarization_modulus,0.9519461210321447,0.018443803214083624,0.01322519189035659,5.770913712277157,0.9573390104743562,0.05934291909744882
ANN / MLP,Synthetic OOD Set,overall_recovery_pct,0.9969802188085559,0.4062068748864792,0.3087428705549024,1.221371557627821,0.6317240111966492,1.3217165742696793
ANN / MLP,Synthetic OOD Set,permeate_tds_mgL,0.9396567980591832,0.12570631571272492,0.11321388001464872,4.47009633102363,1.2385209217681727,0.2446694358583148
ANN / MLP,Synthetic OOD Set,concentrate_tds_mgL,0.9871056838148823,140.42290281466754,129.82950747920134,2.5626216592377062,1.776409100306731,285.1664544632422
ANN / MLP,Synthetic OOD Set,average_flux_LMH,0.9991053370392017,0.17273590415387916,0.13924581164488764,0.6655655928037675,0.32852951323266344,0.5163644970920984
ANN / MLP,Synthetic OOD Set,SEC_kWh_m3,0.9954149341290729,0.007602048690274463,0.0061581291196889125,1.6257195022197226,0.4404000350851285,0.021865053953389557
ANN / MLP,Synthetic OOD Set,maximum_element_recovery_pct,0.9896846880548139,0.4019949278661564,0.3310635686617769,2.484887866529953,2.3852075333034586,1.1450829777045666
ANN / MLP,Synthetic OOD Set,maximum_polarization_modulus,0.9994497834651566,0.001973572447696553,0.0014491135032139724,0.6175145206433122,0.10858058160648032,0.006557097752261543
