strategy_name,stage_index,element_index,global_element_id,r_f_m_inv,permeability_decline_pct,specific_cumulative_volume_l_m2,local_flux_lmh,local_polarization_modulus,local_feed_tds_mg_l,local_surface_tds_mg_l
Authoritative Baseline,1,1,Stage1_Vessel1_Elem1,65626174433800.27,35.56724600155589,3322.225304125575,14.838416126613412,1.085527089708292,2041.0,2279.60387096185
Authoritative Baseline,1,1,Stage1_Vessel2_Elem1,65626174433800.27,35.56724600155589,3322.225304125575,14.838416126613412,1.085527089708292,2041.0,2279.60387096185
Authoritative Baseline,1,1,Stage1_Vessel3_Elem1,65626174433800.27,35.56724600155589,3322.225304125575,14.838416126613412,1.085527089708292,2041.0,2279.60387096185
Authoritative Baseline,1,2,Stage1_Vessel1_Elem2,68495611621079.92,36.55392220031571,3215.9270117141473,14.454173385620182,1.0832127852825733,2158.994440625957,2408.4422581497033
Authoritative Baseline,1,2,Stage1_Vessel2_Elem2,68495611621079.92,36.55392220031571,3215.9270117141473,14.454173385620182,1.0832127852825733,2158.994440625957,2408.4422581497033
Authoritative Baseline,1,2,Stage1_Vessel3_Elem2,68495611621079.92,36.55392220031571,3215.9270117141473,14.454173385620182,1.0832127852825733,2158.994440625957,2408.4422581497033
Authoritative Baseline,1,3,Stage1_Vessel1_Elem3,71503119566020.64,37.55615282839212,3101.17623491374,14.055368752964656,1.080815993955978,2287.8553212542492,2548.9428250195274
Authoritative Baseline,1,3,Stage1_Vessel2_Elem3,71503119566020.64,37.55615282839212,3101.17623491374,14.055368752964656,1.080815993955978,2287.8553212542492,2548.9428250195274
Authoritative Baseline,1,3,Stage1_Vessel3_Elem3,71503119566020.64,37.55615282839212,3101.17623491374,14.055368752964656,1.080815993955978,2287.8553212542492,2548.9428250195274
Authoritative Baseline,2,1,Stage2_Vessel1_Elem1,135518438801663.7,53.26873497212641,4744.928825965892,21.573088539108763,1.1269027059016061,2428.8454664347723,2829.35793591748
Authoritative Baseline,2,1,Stage2_Vessel2_Elem1,135518438801663.7,53.26873497212641,4744.928825965892,21.573088539108763,1.1269027059016061,2428.8454664347723,2829.35793591748
Authoritative Baseline,2,2,Stage2_Vessel1_Elem2,144329866021610.2,54.83310848572054,4592.397653731724,21.114382413109617,1.1240351781913094,2592.631403041343,3017.1910186295063
Authoritative Baseline,2,2,Stage2_Vessel2_Elem2,144329866021610.2,54.83310848572054,4592.397653731724,21.114382413109617,1.1240351781913094,2592.631403041343,3017.1910186295063
Authoritative Baseline,2,3,Stage2_Vessel1_Elem3,153752506460756.62,56.39411384442441,4417.2381169450055,20.627903707507,1.1210020072497224,2775.8678702367106,3227.171830891839
Authoritative Baseline,2,3,Stage2_Vessel2_Elem3,153752506460756.62,56.39411384442441,4417.2381169450055,20.627903707507,1.1210020072497224,2775.8678702367106,3227.171830891839
