Policy_Code,Event_ID,Trigger_Hour,Trigger_Reason,Rf_Before_Mean_m_inv,Rf_After_Mean_m_inv,Cleaning_Efficiency,Duration_Hours,Chemical_Cost_KES,Downtime_Cost_KES,Total_Cost_KES
CASE_A,1,720.0,Fixed 720h Maintenance Schedule,273959522749610.62,27395952274961.06,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,2,1440.0,Fixed 720h Maintenance Schedule,282567874315286.75,28256787431528.67,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,3,2160.0,Fixed 720h Maintenance Schedule,282573736461541.25,28257373646154.113,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,4,2880.0,Fixed 720h Maintenance Schedule,282565601311314.7,28256560131131.47,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,5,3600.0,Fixed 720h Maintenance Schedule,282480531779621.75,28248053177962.168,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,6,4320.0,Fixed 720h Maintenance Schedule,282965770135931.7,28296577013593.168,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,7,5040.0,Fixed 720h Maintenance Schedule,282413838477236.44,28241383847723.637,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,8,5760.0,Fixed 720h Maintenance Schedule,282253343993119.06,28225334399311.902,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,9,6480.0,Fixed 720h Maintenance Schedule,282224408185215.8,28222440818521.574,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,10,7200.0,Fixed 720h Maintenance Schedule,282362459015201.94,28236245901520.188,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_A,11,7920.0,Fixed 720h Maintenance Schedule,282448518348123.56,28244851834812.344,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_B,1,720.0,Fixed 720h Maintenance Schedule,269300708393079.6,26930070839307.95,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_B,2,1440.0,Fixed 720h Maintenance Schedule,277853005192363.38,27785300519236.332,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_B,3,2160.0,Fixed 720h Maintenance Schedule,277863962291219.34,27786396229121.926,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_B,4,2880.0,Fixed 720h Maintenance Schedule,277856139617401.97,27785613961740.19,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_B,5,3600.0,Fixed 720h Maintenance Schedule,277772299109710.6,27777229910971.05,0.9,4.0,4500.0,3400.0,9690.380000000001
CASE_B,6,4320.0,Fixed 720h Maintenance Schedule,278250527293588.72,27825052729358.86,0.9,4.0,4500.0,3400.0,9690.380000000001
