clock_hour,q_feed_available_m3_h,c_feed_mg_l,temp_c
0,31.3344,2105.23,24.07
1,30.9781,2171.8,22.59
2,30.5888,2033.65,23.41
3,30.9399,2073.63,23.51
4,32.0319,2033.31,24.17
5,32.3772,2123.11,24.29
6,29.404,2133.06,25.42
7,30.3887,1872.22,25.89
8,31.667,2107.28,25.28
9,31.1423,2021.3,25.98
10,31.5928,2151.97,26.2
11,31.6875,2014.08,27.04
12,28.7995,2111.03,27.17
13,29.3895,2086.07,27.47
14,30.2052,2058.28,27.25
15,29.6288,2021.86,26.71
16,28.3673,2026.7,26.15
17,28.3515,2083.47,25.73
18,29.2549,2076.79,25.65
19,27.9381,2231.46,23.83
20,28.8675,2112.66,23.72
21,30.0663,2164.41,22.88
22,28.0587,2067.64,24.8
23,28.4311,2073.51,23.28
24,30.7927,2088.45,22.73
25,29.6816,2156.69,22.15
26,30.4571,2109.84,22.67
27,29.8329,2091.23,23.35
28,31.0178,2166.56,24.71
29,31.9608,2107.16,25.24
30,32.0514,2111.57,25.64
31,32.0547,2070.16,25.44
32,30.1546,2118.66,25.5
33,30.7176,2108.06,27.31
34,30.202,2096.18,27.06
35,30.2877,2175.52,26.93
36,30.9157,2136.03,26.84
37,29.8735,2174.25,27.39
38,29.1406,2235.34,26.33
39,29.0827,2221.84,26.06
40,29.4761,2051.96,25.81
41,28.5558,2167.72,26.27
42,28.9724,2114.27,25.02
43,28.2371,2151.45,24.86
44,28.7297,2219.74,24.83
45,28.6747,2179.34,23.31
46,29.897,2149.9,22.82
47,29.6544,2147.74,22.28
48,28.9449,2158.33,22.25
49,29.5244,2068.93,23.58
50,30.4492,2146.51,23.51
51,31.1796,2222.25,24.39
52,32.751,2106.03,23.7
53,31.8909,2150.65,23.72
54,31.0686,2219.46,24.5
55,32.1905,2264.71,25.94
56,32.2581,2017.61,25.66
57,31.075,2119.84,26.02
58,31.5627,2081.63,26.19
59,29.4408,2095.64,27.11
60,31.4113,2212.46,27.39
61,28.9975,2133.04,26.92
62,29.4589,2123.99,26.06
63,27.7506,2069.77,25.85
64,29.0721,2198.02,26.62
65,29.0984,2080.79,25.67
66,26.5905,2099.95,24.79
