clock_hour,q_feed_available_m3_h,c_feed_mg_l,temp_c
0,29.6254,2064.2,22.72
1,29.73,2001.3,22.42
2,30.6977,2047.68,23.0
3,30.49,2067.03,23.0
4,32.0241,2118.61,24.05
5,32.0619,1999.28,23.88
6,32.1608,2125.48,25.25
7,30.3899,1993.15,26.21
8,29.8971,2053.8,26.27
9,31.8626,2104.72,25.81
10,31.1858,2148.1,26.41
11,31.9044,2050.53,27.12
12,29.3845,2059.68,27.55
13,28.4893,2065.91,26.74
14,28.744,2160.89,26.59
15,28.4922,2087.87,26.04
16,27.7144,2163.41,25.85
17,28.1995,2139.4,25.32
18,29.2318,2051.98,25.11
19,28.7631,2131.33,25.08
20,27.5943,2000.25,23.44
21,29.4877,2142.17,24.2
22,29.6149,2129.91,22.97
23,29.2427,2169.28,23.04
24,30.0758,2141.4,23.14
25,29.154,2186.54,23.08
26,32.7335,2091.48,23.02
27,31.4262,2263.56,23.79
28,31.0479,2040.27,24.19
29,31.4657,2216.36,23.63
30,32.2686,2069.35,25.22
31,31.4957,2227.31,24.76
32,30.9422,2209.49,25.57
33,31.316,2133.47,26.69
34,31.4229,2154.43,26.74
35,29.162,2183.25,27.32
36,29.7747,2143.14,27.05
37,31.0073,2187.44,27.67
38,28.7106,2182.58,27.47
39,29.4101,2202.97,25.95
40,30.1445,2240.48,25.34
41,30.1961,2135.49,25.46
42,29.6637,2145.79,25.01
43,28.4404,2216.79,23.97
44,28.9753,2035.27,24.49
45,28.3572,2268.69,24.14
46,28.1268,2153.66,24.18
47,28.6193,2191.56,22.69
48,29.6452,2173.67,23.51
49,30.3504,1974.46,23.95
50,31.3561,2154.57,22.72
51,30.939,2229.04,24.32
52,31.082,2141.74,23.9
53,30.969,2021.71,25.47
54,29.8785,2063.35,24.8
55,31.7132,2099.98,25.69
56,31.0344,2167.85,27.07
57,31.0327,2151.24,26.38
58,30.9818,2203.45,27.1
59,29.9032,2183.84,26.27
60,29.7853,2160.13,27.93
61,30.565,2137.65,26.07
62,29.3761,2152.74,26.33
63,29.8792,2079.18,26.16
64,29.7577,2186.27,24.99
65,27.8727,2166.36,25.5
66,29.0966,2127.82,26.23
67,28.3018,2214.45,24.47
68,27.8601,2162.25,23.95
69,28.0781,2236.0,23.37
70,29.6105,2108.03,22.8
71,29.9388,2119.89,22.47
72,28.8564,2108.98,23.45
73,31.2022,2116.41,22.95
74,30.6846,2094.26,23.14
75,30.7535,2018.78,23.06
76,31.1085,2051.81,24.19
77,31.4559,2104.56,23.87
78,31.9164,2000.47,24.27
79,31.7719,2125.21,25.38
80,30.9776,2020.59,25.85
81,30.5029,2090.7,26.23
82,31.2668,2068.92,27.29
83,30.1678,2116.94,26.4
84,29.6966,1960.81,27.47
85,31.1862,2014.72,26.65
86,29.412,1909.87,26.57
87,29.2375,2090.64,25.88
88,29.486,2035.42,26.48
89,29.1403,1982.38,25.39
90,29.629,1992.16,25.48
91,28.4499,2075.81,23.71
92,29.1435,2002.96,24.39
93,28.2869,2030.59,23.58
94,29.681,1998.81,23.65
95,27.8375,1978.84,22.78
96,29.275,1962.23,22.53
97,29.2185,2076.65,23.34
98,30.2079,2030.53,23.44
99,32.2789,1919.25,23.64
100,31.1182,1954.88,24.69
101,30.746,2005.68,23.84
102,30.7227,1889.56,24.26
103,31.4922,1897.39,25.11
104,31.3479,1995.38,26.52
105,31.9997,1904.6,26.11
106,31.6649,1921.18,26.4
107,30.6969,1995.46,27.0
108,30.4272,1882.37,26.98
109,30.0466,1871.57,27.46
110,29.0365,1955.56,27.56
111,28.6166,1958.68,26.82
112,28.5206,1948.23,26.1
113,28.0591,1909.99,25.25
114,29.639,1908.88,24.05
115,29.4613,1878.18,23.76
116,28.1769,1856.52,23.57
117,29.7091,2008.14,23.09
118,29.7674,1900.09,22.59
119,30.0098,1870.69,23.18
120,29.0304,1888.33,23.38
121,28.9338,2003.91,22.45
122,31.4754,1877.82,23.36
123,31.8839,1975.38,23.45
124,31.6967,1842.46,23.31
125,32.7334,2046.06,25.51
126,31.4244,1996.69,25.29
127,31.6061,1839.79,26.3
128,32.1682,1869.34,25.51
129,31.488,1935.78,26.37
130,31.044,1808.26,26.77
131,28.351,1991.12,27.53
132,29.9141,1986.61,27.35
133,29.5216,1971.22,26.64
134,29.2424,1941.46,26.89
135,28.5062,1962.87,26.04
136,27.9457,1967.78,25.99
137,28.9801,1932.26,25.86
138,28.1675,1947.84,25.24
139,28.8099,1992.06,24.6
140,29.0605,1930.92,24.33
141,30.9211,1935.56,24.42
142,29.1056,2000.64,23.7
143,29.6184,1932.8,23.51
144,29.6495,1854.28,22.74
145,31.261,1881.81,22.7
146,30.8469,2042.03,23.08
147,30.6327,1907.42,24.42
148,32.4694,1919.08,24.34
149,30.6398,1915.74,24.71
150,31.6,1968.62,25.43
151,30.1114,1955.89,25.37
152,32.6776,2129.66,25.72
153,31.6214,1934.18,26.67
154,32.2537,1979.23,27.06
155,31.7325,2067.74,27.08
156,29.6692,1920.59,27.08
157,29.2006,1963.13,26.49
158,28.8913,1994.78,26.71
159,28.5917,2082.34,26.51
160,29.0988,2044.01,25.94
161,28.9108,1929.2,25.64
162,28.1603,2066.91,25.33
163,27.1689,1972.06,24.28
164,28.2179,2031.63,24.99
165,29.3238,2036.92,23.93
166,29.4067,1993.43,23.88
167,30.8398,2037.87,23.33
168,29.9239,1965.02,23.28
169,29.4132,2014.71,23.08
170,29.9714,2033.34,23.08
171,32.1307,2073.93,23.7
172,31.2806,2032.88,24.24
173,30.8126,2060.58,23.55
174,31.9923,2030.89,25.97
175,30.9357,2078.58,24.79
176,30.9152,2137.5,26.16
177,30.4253,2067.16,26.59
178,30.1837,2020.52,26.42
179,30.2589,2117.58,26.72
180,30.2491,1984.78,26.0
181,27.7249,2250.58,27.67
182,29.9755,2121.38,26.17
183,30.002,2181.64,25.85
184,29.1259,2096.4,26.01
185,29.0574,2131.15,26.25
186,29.0537,2145.99,25.2
187,27.614,2144.84,23.46
188,29.3903,2215.47,23.94
189,27.2539,2168.52,23.74
190,28.8734,2159.14,24.13
191,29.2095,2114.4,23.52
192,29.7782,2106.57,22.78
193,31.3139,2114.74,22.58
194,31.6549,2154.5,23.36
195,30.1581,2180.83,23.23
196,31.0843,2197.12,23.47
197,32.1003,2093.1,24.91
198,30.7239,2169.8,23.72
199,31.452,2145.04,25.54
200,31.9791,2137.56,26.39
201,32.1719,2235.49,26.48
202,30.9196,2097.24,26.35
203,31.4755,2184.46,27.07
204,30.0133,2237.56,27.15
205,29.276,2145.85,27.28
206,29.1335,2172.51,27.22
207,28.2196,2227.95,26.52
208,28.5472,2287.72,26.61
209,29.4697,2030.27,25.41
210,29.4807,2110.7,24.31
211,27.5747,2103.13,24.49
212,29.3339,2116.98,23.75
213,28.7382,2225.16,23.8
214,28.4695,2200.85,22.86
215,29.5488,2159.49,23.43
216,29.6193,2166.45,22.5
217,28.8761,2005.97,23.53
218,30.701,2245.67,23.55
219,31.0319,2150.39,24.33
220,31.0723,2171.05,23.29
221,31.2997,2187.83,24.13
222,31.5567,2191.09,25.07
223,31.3154,2192.41,24.97
224,31.1743,2226.31,25.73
225,30.8575,2098.77,26.14
226,31.0071,2051.38,27.05
227,29.9453,2101.27,26.45
228,29.4109,2207.27,27.3
229,29.5132,2108.22,27.4
230,29.834,2114.32,27.03
231,28.8419,2187.57,26.74
232,28.3495,2131.62,26.68
233,27.5306,2172.08,25.96
234,27.8676,2092.54,25.55
235,27.4743,2069.04,24.59
236,29.1065,2047.77,23.9
237,28.4177,2108.75,23.43
238,30.3942,2034.27,23.03
239,29.255,2091.2,22.94
240,29.0597,2122.66,22.62
241,30.714,2068.52,22.92
242,29.5505,2124.67,23.09
243,30.603,2088.32,22.95
244,32.7031,2036.53,23.12
245,31.4634,2054.73,24.53
246,32.957,1964.11,25.26
247,31.5218,2087.6,25.66
248,30.7013,1974.86,26.32
249,31.3946,2127.65,26.07
250,30.6258,2019.13,26.73
251,30.5296,2124.69,27.93
252,30.7311,2030.8,26.96
253,27.8363,1996.2,27.17
254,27.1251,1999.31,25.78
255,28.904,1965.96,26.73
256,28.7155,2052.9,26.05
257,27.8785,1997.0,25.71
258,29.4641,1978.03,25.95
259,29.1748,2009.34,24.79
260,29.977,2044.73,24.3
261,29.1744,2010.42,23.83
262,28.3315,2059.14,22.88
263,29.3375,1919.34,22.1
264,30.2146,2007.71,23.07
265,31.9023,1942.26,23.39
266,29.2049,1945.57,23.07
267,30.4948,2083.85,24.45
268,31.6513,1890.66,23.97
269,30.7435,1958.27,25.15
270,31.967,2014.01,24.44
271,31.6957,2005.42,25.25
272,30.8064,2078.34,25.61
273,30.6516,2007.83,26.62
274,30.4171,1937.99,26.88
275,31.3677,2033.68,27.06
276,30.3475,1873.48,26.94
277,29.8693,2003.23,27.34
278,29.8995,2020.8,27.12
