clock_hour,q_feed_available_m3_h,c_feed_mg_l,temp_c
0,30.7451,2037.04,21.88
1,30.5691,1989.91,21.18
2,32.4715,2039.0,20.62
3,34.4059,2154.76,21.71
4,32.2468,2231.6,23.34
5,32.5466,2155.94,25.78
6,35.3688,2108.84,24.52
7,34.0489,2285.47,26.84
8,31.8939,2077.15,26.67
9,32.9352,2247.28,27.94
10,30.8049,2097.77,29.98
11,30.0779,2192.7,29.63
12,30.3629,2135.84,27.76
13,26.3536,2151.11,28.29
14,25.9126,2120.71,29.72
15,27.0352,2335.39,27.97
16,25.8827,2093.88,25.85
17,27.5736,2100.63,25.22
18,25.638,2451.39,25.7
19,24.9838,2321.41,24.96
20,29.6004,1924.83,23.02
21,27.54,2149.95,24.65
22,28.6013,2006.82,22.36
23,27.0864,2116.41,20.89
24,29.1834,1859.84,20.18
25,30.9428,2225.71,20.16
26,29.7735,2110.53,21.87
27,32.6849,2259.87,21.68
28,31.6971,2062.49,24.67
29,32.4602,2271.98,25.43
30,32.0974,2216.45,25.63
31,35.6762,2450.37,24.86
32,32.5778,2443.08,26.33
33,30.5348,2371.21,29.08
34,32.7338,2240.7,27.9
35,28.9452,2520.73,29.99
36,30.3133,2098.37,29.47
37,26.284,2118.21,28.92
38,26.5077,2278.15,27.76
39,28.174,2559.91,27.73
40,28.5096,2266.02,27.19
41,27.3593,2268.84,27.07
42,26.8265,2117.97,24.11
43,26.6506,2404.34,23.7
44,25.1841,2404.68,23.04
45,26.7989,2384.12,22.83
46,27.809,2212.7,20.63
47,30.8092,2201.84,19.82
48,30.5154,2129.56,21.67
49,28.1319,2292.55,19.62
50,31.9861,2150.24,22.82
51,31.5437,2135.68,22.02
52,31.5827,2222.88,21.45
53,33.8153,2211.44,23.48
54,34.5465,2201.68,25.38
55,34.2947,2318.0,25.5
56,31.3392,2266.99,27.02
57,31.6575,2218.1,28.57
58,31.9969,2269.52,28.26
59,32.2398,2123.17,27.93
60,29.2812,2249.09,28.7
61,28.9451,2248.57,30.28
62,26.8405,2043.9,30.15
63,26.0844,2337.26,25.81
64,28.6207,2105.27,28.09
65,29.1366,2214.91,26.29
66,26.892,2336.6,25.92
67,28.6075,2300.54,23.41
68,27.9444,2185.95,21.23
69,26.911,2130.51,22.76
70,29.0421,2279.7,20.59
71,31.5306,2238.78,19.75
72,29.9463,2075.27,19.68
73,33.1234,2045.59,21.74
74,27.5704,1883.65,21.68
75,33.3542,2142.05,22.95
76,32.7286,2104.77,23.67
77,32.4493,2242.05,23.54
78,33.1376,2139.72,24.93
79,29.9164,2247.59,25.52
80,32.2686,1994.58,26.79
81,32.657,2205.57,26.86
82,33.7168,1996.21,28.85
83,29.9991,2143.66,29.94
84,28.7873,1865.95,28.18
85,28.4709,2059.87,30.14
86,29.8731,1784.15,28.58
87,28.3718,1980.95,28.07
88,26.6073,2056.58,25.3
89,27.8721,1932.01,24.23
90,27.1456,1859.32,25.14
91,28.5552,2077.83,24.75
92,26.3488,1954.9,22.33
93,27.3872,1899.68,23.84
94,27.9118,1954.69,22.27
95,27.0283,2257.43,20.23
96,30.4442,2070.95,21.03
97,31.168,2063.69,23.61
98,31.5077,1968.27,20.29
99,31.7694,1927.97,22.7
100,30.475,1612.64,22.68
101,32.2668,1811.07,24.67
102,32.4859,1827.46,26.27
103,31.6944,1652.94,25.65
104,32.3561,1732.07,28.12
105,32.7274,1626.52,30.05
106,34.3293,1853.14,28.53
107,31.0383,1949.76,29.65
108,30.3863,1978.36,28.41
109,29.1119,1889.62,28.88
110,25.6218,1718.83,28.29
111,27.8389,1597.47,28.63
112,27.4923,1613.67,28.2
113,30.7971,1667.69,25.93
114,26.7115,1709.09,26.53
115,27.5545,1792.69,25.49
116,27.3499,1686.58,23.85
117,26.1257,1845.71,21.66
118,30.2142,1774.23,20.92
119,30.3514,1800.78,20.32
120,31.1865,1934.1,21.95
121,29.4124,1653.73,19.92
122,33.6042,1844.04,22.21
123,30.0185,1790.9,21.09
124,33.4784,1751.68,23.82
125,36.1835,1897.41,23.98
126,31.5142,1896.48,26.33
127,32.0483,1677.6,27.18
128,32.7476,1769.84,28.44
129,31.3661,1826.32,29.29
130,29.174,1761.03,28.61
131,30.8793,1865.56,27.7
132,28.4065,1831.01,27.95
133,29.9339,2019.43,26.78
134,27.1209,1618.47,27.38
135,30.2036,1790.34,27.9
136,26.227,1699.26,26.44
137,26.6191,1884.35,25.86
138,28.2203,1621.7,25.49
139,25.2559,1861.53,23.66
140,27.7431,1748.89,21.88
141,29.8394,1741.22,22.12
142,26.0888,1660.86,20.64
143,29.5005,1784.04,20.87
144,30.3898,1975.68,22.34
145,31.9492,1848.48,20.87
146,29.6446,1933.06,23.31
147,30.1406,2063.98,23.6
148,33.381,1902.61,22.42
149,33.3433,1810.87,22.85
150,33.3757,1941.2,24.95
151,33.4174,1827.23,27.19
152,31.578,1839.64,26.51
153,32.4697,1725.6,28.74
154,31.9396,2027.15,29.67
155,29.7049,1877.86,28.09
156,32.7987,1954.38,28.32
157,29.9343,1816.71,29.58
158,26.713,2001.98,28.62
159,28.8635,1867.0,27.14
160,25.9399,1950.31,26.65
161,28.2828,2081.63,25.96
162,28.7379,2080.26,23.44
163,25.8712,1991.88,24.73
164,28.847,1791.56,22.52
165,28.4979,2372.15,19.39
166,29.7331,2231.82,21.51
167,32.0687,2118.37,20.39
168,29.6319,1950.62,22.69
169,29.6459,2036.72,20.55
170,30.1657,1994.47,20.44
171,30.8976,2220.65,22.68
172,32.4824,2109.76,22.34
173,33.4095,1993.38,23.19
174,33.415,2040.14,25.51
175,34.1386,2240.25,24.99
176,32.6176,2306.7,25.54
177,34.3016,2306.97,29.55
178,31.103,2223.18,29.04
179,34.8567,2110.66,28.6
180,30.9385,1760.49,29.0
181,27.9378,2193.48,29.37
182,26.8937,2165.78,29.44
183,28.6024,2190.81,27.07
184,27.0667,2188.3,27.37
185,28.1732,2030.3,25.53
186,27.7099,2263.76,24.81
187,26.993,2279.94,24.13
188,26.1317,2292.92,22.99
189,25.6064,2331.37,22.91
190,27.8302,2296.75,22.02
191,30.5081,2181.29,19.63
192,30.3211,2227.96,19.64
193,28.9078,2253.08,20.77
194,31.7598,2260.48,23.36
195,32.6993,2372.47,21.32
196,31.2723,2334.75,22.79
197,33.1284,2511.31,23.43
198,33.0873,2531.02,24.45
199,31.1833,2279.7,26.21
200,33.1348,1813.32,28.4
201,32.9625,2425.39,28.28
202,33.1246,2215.05,27.66
203,32.3572,2186.3,31.62
204,27.9335,2236.92,29.08
205,27.8168,2233.04,28.29
206,29.2726,2361.68,29.88
207,28.6494,2102.3,27.36
208,28.1745,2160.97,28.66
209,32.8813,2332.0,25.16
210,27.8563,2365.75,26.43
211,28.8056,2367.81,24.17
212,28.8329,2195.86,24.29
213,28.8558,2172.04,24.07
214,28.0271,2227.41,20.4
215,30.362,2315.43,22.41
216,28.8408,2462.99,19.59
217,30.4212,2036.79,20.09
218,30.772,2253.41,20.73
219,32.2441,2117.05,22.68
220,36.0701,2075.45,23.03
221,30.0969,2386.18,23.8
222,34.0294,2331.6,25.15
223,30.4787,2315.96,26.63
224,31.8902,2368.03,27.67
225,33.7547,2195.11,28.92
226,31.5964,2195.64,30.28
227,29.1598,2504.44,28.84
228,28.927,2206.87,28.48
229,30.2429,2318.71,29.48
230,27.4045,2225.03,27.32
231,28.2034,1995.99,27.15
