clock_hour,q_feed_available_m3_h,c_feed_mg_l,temp_c
0,30.149,2040.17,24.18
1,30.1397,2030.28,24.04
2,30.5443,2040.43,23.95
3,30.9519,2064.47,24.2
4,30.536,2080.4,24.57
5,30.6059,2064.56,25.1
6,31.1738,2054.67,24.9
7,30.9064,2091.39,25.42
8,30.4654,2047.92,25.43
9,30.6577,2083.29,25.73
10,30.211,2052.07,26.17
11,30.0415,2071.77,26.12
12,30.0726,2059.86,25.75
13,29.2448,2062.97,25.85
14,29.1325,2056.57,26.12
15,29.3363,2101.22,25.74
16,29.0899,2050.84,25.27
17,29.4181,2052.19,25.1
18,29.0276,2125.2,25.14
19,28.9002,2098.06,24.94
20,29.8335,2015.38,24.5
21,29.4373,2062.22,24.79
22,29.6703,2032.35,24.3
23,29.3914,2055.13,23.99
24,29.8367,2001.63,23.84
25,30.2145,2077.81,23.84
26,30.0047,2053.76,24.2
27,30.6077,2084.83,24.2
28,30.426,2043.67,24.83
29,30.5886,2087.28,25.03
30,30.5195,2075.68,25.13
31,31.2318,2124.38,25.02
32,30.6022,2122.83,25.37
33,30.1777,2107.83,25.96
34,30.5968,2080.61,25.75
35,29.8149,2138.93,26.19
36,30.0627,2050.92,26.09
37,29.2309,2055.04,25.98
38,29.2515,2088.35,25.73
39,29.5641,2147.04,25.69
40,29.6153,2085.8,25.54
41,29.3753,2086.38,25.47
42,29.2653,2054.95,24.82
43,29.2335,2114.61,24.69
44,28.9502,2114.69,24.51
45,29.2891,2110.41,24.43
46,29.5118,2074.71,23.95
47,30.136,2072.46,23.77
48,30.1031,2057.42,24.13
49,29.6523,2091.39,23.73
50,30.4472,2061.77,24.39
51,30.3795,2058.76,24.26
52,30.4031,2076.95,24.19
53,30.8597,2074.6,24.65
54,31.0093,2072.6,25.08
55,30.9555,2096.87,25.15
56,30.3545,2086.28,25.5
57,30.4022,2076.13,25.86
58,30.4494,2086.89,25.83
59,30.4738,2056.44,25.78
60,29.8562,2082.72,25.94
61,29.7631,2082.66,26.25
62,29.3181,2040.08,26.2
