horizon_h,policy,net_benefit_kes,permeate_m3,total_energy_kwh,sec_kwh_m3,cip_count,cip_downtime_h,lcow_kes_m3,constraint_violations,mean_forecast_error_pct,max_forecast_error_pct,runtime_seconds,diff_vs_24h_kes,diff_vs_24h_percent,is_equiv_to_24h,status
6,CASE_D,11497341.11,109708.9,102521.6,0.9345,67,268.0,23.2,0,0.81,2.01,0.946,-2782.42,0.0242,True,ECONOMICALLY_EQUIVALENT
6,CASE_E,11500123.53,109737.3,102583.2,0.9348,67,268.0,23.2,0,0.81,2.01,0.811,0.0,0.0,True,ECONOMICALLY_EQUIVALENT
12,CASE_D,11497341.11,109708.9,102521.6,0.9345,67,268.0,23.2,0,0.81,2.04,0.742,-2782.42,0.0242,True,ECONOMICALLY_EQUIVALENT
12,CASE_E,11500123.53,109737.3,102583.2,0.9348,67,268.0,23.2,0,0.81,2.04,0.794,0.0,0.0,True,ECONOMICALLY_EQUIVALENT
24,CASE_D,11497341.11,109708.9,102521.6,0.9345,67,268.0,23.2,0,0.84,2.1,0.997,-2782.42,0.0242,True,OPTIMAL_BASE
24,CASE_E,11500123.53,109737.3,102583.2,0.9348,67,268.0,23.2,0,0.84,2.1,1.007,0.0,0.0,True,OPTIMAL_BASE
48,CASE_D,11497341.11,109708.9,102521.6,0.9345,67,268.0,23.2,0,0.91,2.28,0.684,-2782.42,0.0242,True,ECONOMICALLY_EQUIVALENT
48,CASE_E,11500123.53,109737.3,102583.2,0.9348,67,268.0,23.2,0,0.91,2.28,0.684,0.0,0.0,True,ECONOMICALLY_EQUIVALENT
72,CASE_D,11497341.11,109708.9,102521.6,0.9345,67,268.0,23.2,0,1.01,2.52,0.669,-2782.42,0.0242,True,ECONOMICALLY_EQUIVALENT
72,CASE_E,11500123.53,109737.3,102583.2,0.9348,67,268.0,23.2,0,1.01,2.52,0.656,0.0,0.0,True,ECONOMICALLY_EQUIVALENT
