lockout_hours,lockout_weeks,policy_code,cip_count,mean_interval_h,median_interval_h,min_interval_h,max_interval_h,fraction_at_lockout,policy_status,cip_downtime_h,operating_uptime_h,permeate_m3,effective_recovery_pct,total_energy_kwh,sec_kwh_m3,net_benefit_kes,lcow_kes_m3,prediction_value_dc_kes,mpc_value_ed_kes,integrated_value_ea_kes
168.0,1.0,CASE_C,48,168.0,168.0,168.0,168.0,1.0,LOCKOUT_BOUND,192.0,7808.0,102689.8,42.77,99597.9,0.9699,11073176.39,20.17,424164.72,2782.42,4391948.14
168.0,1.0,CASE_D,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109708.9,45.69,102521.6,0.9345,11497341.11,23.2,424164.72,2782.42,4391948.14
168.0,1.0,CASE_E,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109737.3,45.71,102583.2,0.9348,11500123.53,23.2,424164.72,2782.42,4391948.14
336.0,2.0,CASE_C,24,336.0,336.0,336.0,336.0,1.0,LOCKOUT_BOUND,96.0,7904.0,86125.6,35.87,91548.7,1.063,9296124.7,20.06,2201216.41,2782.42,4391948.14
336.0,2.0,CASE_D,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109708.9,45.69,102521.6,0.9345,11497341.11,23.2,2201216.41,2782.42,4391948.14
336.0,2.0,CASE_E,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109737.3,45.71,102583.2,0.9348,11500123.53,23.2,2201216.41,2782.42,4391948.14
504.0,3.0,CASE_C,16,504.0,504.0,504.0,504.0,1.0,LOCKOUT_BOUND,64.0,7936.0,76094.6,31.69,86053.3,1.1309,8165188.24,20.7,3332152.87,2782.42,4391948.14
504.0,3.0,CASE_D,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109708.9,45.69,102521.6,0.9345,11497341.11,23.2,3332152.87,2782.42,4391948.14
504.0,3.0,CASE_E,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109737.3,45.71,102583.2,0.9348,11500123.53,23.2,3332152.87,2782.42,4391948.14
720.0,4.3,CASE_C,12,720.0,720.0,720.0,720.0,1.0,LOCKOUT_BOUND,48.0,7952.0,67573.6,28.14,80983.2,1.1984,7182925.63,21.7,4314415.48,2782.42,4391948.14
720.0,4.3,CASE_D,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109708.9,45.69,102521.6,0.9345,11497341.11,23.2,4314415.48,2782.42,4391948.14
720.0,4.3,CASE_E,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109737.3,45.71,102583.2,0.9348,11500123.53,23.2,4314415.48,2782.42,4391948.14
1008.0,6.0,CASE_C,8,1008.0,1008.0,1008.0,1008.0,1.0,LOCKOUT_BOUND,32.0,7968.0,59961.7,24.97,76211.8,1.271,6312925.83,22.72,5184415.28,2782.42,4391948.14
1008.0,6.0,CASE_D,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109708.9,45.69,102521.6,0.9345,11497341.11,23.2,5184415.28,2782.42,4391948.14
1008.0,6.0,CASE_E,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109737.3,45.71,102583.2,0.9348,11500123.53,23.2,5184415.28,2782.42,4391948.14
1440.0,8.6,CASE_C,6,1440.0,1440.0,1440.0,1440.0,1.0,LOCKOUT_BOUND,24.0,7976.0,53460.6,22.27,71807.1,1.3432,5560690.65,23.99,5936650.46,2782.42,4391948.14
1440.0,8.6,CASE_D,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109708.9,45.69,102521.6,0.9345,11497341.11,23.2,5936650.46,2782.42,4391948.14
1440.0,8.6,CASE_E,67,120.0,120.0,120.0,120.0,0.0,CONDITION_OPTIMIZED,268.0,7732.0,109737.3,45.71,102583.2,0.9348,11500123.53,23.2,5936650.46,2782.42,4391948.14
