event_id,timestamp_hour,policy,current_decline_pct,pred_decline_6h_pct,pred_decline_12h_pct,pred_decline_24h_pct,pred_decline_48h_pct,pred_decline_72h_pct,continue_operation_cost_kes,clean_now_cost_kes,economic_advantage_kes,time_since_last_cip_h,is_lockout_binding,feed_tds_mg_l,feed_flow_m3_h,temperature_c,p1_bar,p2_bar,reason_code,reason_description
1,27.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17520.25,9690.38,7829.87,27.0,False,2146.2,31.36,23.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
2,147.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17515.99,9690.38,7825.61,120.0,True,2056.0,30.0,24.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
3,267.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17509.22,9690.38,7818.84,120.0,True,1913.1,29.92,24.1,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
4,387.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17521.69,9690.38,7831.31,120.0,True,2176.5,32.56,23.7,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
5,507.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17513.53,9690.38,7823.15,120.0,True,2004.2,30.37,23.6,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
6,627.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17512.36,9690.38,7821.98,120.0,True,1979.4,30.96,23.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
7,747.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17516.38,9690.38,7826.0,120.0,True,2064.3,30.46,24.5,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
8,867.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17517.68,9690.38,7827.3,120.0,True,2091.8,31.33,23.4,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
9,987.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17509.51,9690.38,7819.13,120.0,True,1919.3,31.76,23.9,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
10,1107.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17513.52,9690.38,7823.14,120.0,True,2004.0,30.22,23.5,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
11,1227.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17518.85,9690.38,7828.47,120.0,True,2116.6,30.94,23.7,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
12,1347.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17518.04,9690.38,7827.66,120.0,True,2099.4,31.81,23.9,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
13,1467.0,CASE_E,15.09,15.89,16.69,18.49,21.99,25.59,17504.35,9690.38,7813.97,120.0,True,1810.2,31.38,23.1,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
14,1587.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17518.8,9690.38,7828.42,120.0,True,2115.5,30.77,23.7,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
15,1707.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17522.9,9690.38,7832.52,120.0,True,2202.2,32.58,23.0,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
16,1827.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17509.55,9690.38,7819.17,120.0,True,1920.1,32.19,23.9,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
17,1947.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17510.51,9690.38,7820.13,120.0,True,1940.3,31.04,23.4,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
18,2067.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17521.87,9690.38,7831.49,120.0,True,2180.3,30.95,23.9,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
